term,estimate,std.error,statistic,p.value,nobs,spec,L,estimator
tmp,0.010594819461893161,0.002518533132187537,4.206742141482474,2.628343883457339e-5,6456,Direct,0,AFE
tmp2,-4.0453337302582615e-4,9.207661215289264e-5,-4.393443281276476,1.1347994505283846e-5,6456,Direct,0,AFE
pre,0.018494200719385716,0.00774352709861713,2.3883432554511863,0.016955104785768182,6456,Direct,0,AFE
pre2,-0.004580901417516843,0.0014860223645243552,-3.0826598084094745,0.0020608585032702745,6456,Direct,0,AFE
tmp,0.007218634951529396,0.002288951209091157,3.153686685351236,0.0016122207395588724,6456,Direct,0,IFE
tmp2,-2.959179505940668e-4,8.328990787868036e-5,-3.552866825415383,3.8105732347670974e-4,6456,Direct,0,IFE
pre,0.013314465596281666,0.007074408218415165,1.8820606876520367,0.059827776218494,6456,Direct,0,IFE
pre2,-0.0033659147633933384,0.0015681933457364898,-2.146364651109116,0.03184389724868386,6456,Direct,0,IFE
tmp,0.006755962566753616,0.004292574910754296,1.5738717919232423,0.11557065595293319,6334,Direct,1,AFE
tmp2,-2.5097866848662874e-4,1.4748571929595848e-4,-1.7017150520383044,0.08886142925955101,6334,Direct,1,AFE
pre,0.011974546648121054,0.01031030471228528,1.161415397728521,0.24551994652849612,6334,Direct,1,AFE
pre2,-0.003989353320206192,0.00201553975783331,-1.9792977561974345,0.04782885639257362,6334,Direct,1,AFE
d1_tmp,0.004952180982093392,0.00306708317409322,1.6146223304027285,0.1064459250921584,6334,Direct,1,AFE
d1_tmp2,-1.8817482280415824e-4,1.0514367616545888e-4,-1.7896922541307931,0.07355461454675365,6334,Direct,1,AFE
d1_pre,0.003950003856029975,0.008176501857062845,0.4830921493178614,0.6290482151557266,6334,Direct,1,AFE
d1_pre2,-1.365250155141072e-4,0.0016495919511146308,-0.08276290110524431,0.9340428732402535,6334,Direct,1,AFE
tmp,0.004095159107085712,0.0031164583851087395,1.3140426089606916,0.1888318657436062,6334,Direct,1,IFE
tmp2,-2.052361742495895e-4,1.1039535684275413e-4,-1.8591015067954852,0.06301275175009645,6334,Direct,1,IFE
pre,0.0038692856798174225,0.009773122796119749,0.3959108834029647,0.6921707719245703,6334,Direct,1,IFE
pre2,-0.0020393902973610567,0.002094770581243776,-0.9735626018531169,0.3302737628825652,6334,Direct,1,IFE
d1_tmp,0.004584773098340233,0.002338181849738421,1.9608282815355633,0.04989905773788279,6334,Direct,1,IFE
d1_tmp2,-1.7255387565170448e-4,8.229139439703032e-5,-2.096864160779508,0.03600560191450453,6334,Direct,1,IFE
d1_pre,0.008539163793739847,0.00699866421944036,1.2201133710659249,0.22242190044804253,6334,Direct,1,IFE
d1_pre2,-0.0012942451345415121,0.0015594211121859212,-0.8299522973158301,0.4065657547612477,6334,Direct,1,IFE
tmp,0.005533267781538951,0.005087597386935073,1.0875993835023892,0.27681734467420593,6212,Direct,2,AFE
tmp2,-1.8807988581128447e-4,1.6185594745947077e-4,-1.1620202331976726,0.24527521750519593,6212,Direct,2,AFE
pre,0.003656087569708208,0.013530231754365898,0.27021618225633653,0.7870035895838394,6212,Direct,2,AFE
pre2,-0.0025762387930897625,0.0024692519380502508,-1.0433276383794152,0.2968402009792789,6212,Direct,2,AFE
d1_tmp,0.006306739433471938,0.003850943681949004,1.6377127152064785,0.10153606107913885,6212,Direct,2,AFE
d1_tmp2,-2.4354242944152964e-4,1.1879885626678619e-4,-2.050040186368522,0.04040551987720294,6212,Direct,2,AFE
d1_pre,0.013391778600443476,0.012277896373337314,1.0907225629892976,0.27544043795957246,6212,Direct,2,AFE
d1_pre2,-0.0017813373281463571,0.0022225353359322463,-0.8014888669471579,0.4228816280227651,6212,Direct,2,AFE
d2_tmp,0.0016649498217147826,0.002046114728188097,0.8137128376907542,0.41584299135389513,6212,Direct,2,AFE
d2_tmp2,-8.346001221051621e-5,7.975740520947962e-5,-1.0464233633392641,0.2954093601429897,6212,Direct,2,AFE
d2_pre,0.009353498761565332,0.007879217951399455,1.1871100430600507,0.2352329944911129,6212,Direct,2,AFE
d2_pre2,-0.0017291702697589944,0.0014516991368616191,-1.1911354259652114,0.23364932684905057,6212,Direct,2,AFE
tmp,0.0052344679442358055,0.0035678569186298054,1.4671182347318017,0.14234389451525806,6212,Direct,2,IFE
tmp2,-2.4681558832621907e-4,1.2738320840293216e-4,-1.9375833865442014,0.05267407096853139,6212,Direct,2,IFE
pre,-0.006745227314005031,0.011577936853987315,-0.5825932028366563,0.5601671822341228,6212,Direct,2,IFE
pre2,-6.885514407380847e-5,0.002519346469739538,-0.027330557706470218,0.978196084441553,6212,Direct,2,IFE
d1_tmp,0.006263273711702674,0.0030310004008157797,2.066404778441119,0.038790275122663885,6212,Direct,2,IFE
d1_tmp2,-2.1085310364590324e-4,1.0912721836495534e-4,-1.9321770205921032,0.05333766044904366,6212,Direct,2,IFE
d1_pre,0.017920167262733037,0.009380361858911586,1.910391894499082,0.05608277369565769,6212,Direct,2,IFE
d1_pre2,-0.0031173889712681198,0.0020391067974986224,-1.5288012256602885,0.1263137284532635,6212,Direct,2,IFE
d2_tmp,0.0030094495945032955,0.002284401595979751,1.3173907774357778,0.1877076707110308,6212,Direct,2,IFE
d2_tmp2,-4.324870608532599e-5,8.369081793175308e-5,-0.5167676353766048,0.6053183753453297,6212,Direct,2,IFE
d2_pre,0.010000945304129266,0.006819354519600115,1.4665530697054474,0.14249767451653592,6212,Direct,2,IFE
d2_pre2,-0.0023336987314059384,0.0015433365152664224,-1.512112691121727,0.13050519681776293,6212,Direct,2,IFE
