year,estimator,L,delta_all,delta_dir,IE_effect,eta_all,eta_dir,eta_ie,panel,IE_share
2094,AFE,0,-0.24784139577402708,-0.31526142928896417,0.06742003351493708,-0.033003015391467126,-0.05840163476994679,0.025398619378479658,L = 0,0.21385436736423863
2095,AFE,0,-0.25138715412069246,-0.31537436309229505,0.0639872089716026,-0.03360386841632551,-0.05943269649391218,0.025828828077586668,L = 0,0.20289286784188157
2096,AFE,0,-0.2479648179752485,-0.3075044820502071,0.05953966407495859,-0.034058159710193506,-0.06009691734513586,0.026038757634942344,L = 0,0.19362210162919638
2097,AFE,0,-0.25102177649082624,-0.3066624618566738,0.05564068536584754,-0.034665636126722604,-0.061135280693578584,0.026469644566855976,L = 0,0.18143950527551878
2098,AFE,0,-0.25394685406953144,-0.30540794796804904,0.05146109389851761,-0.035277476825542865,-0.06218007558581367,0.026902598760270808,L = 0,0.1684995241312493
2099,AFE,0,-0.25673579668279933,-0.3037255124268521,0.04698971574405275,-0.035893692682281,-0.06323130202184117,0.027337609339560177,L = 0,0.1547111250832758
2100,AFE,0,-0.25938437611420784,-0.3015989021538874,0.04221452603967957,-0.03651429468406592,-0.06428896000166105,0.02777466531759513,L = 0,0.13996909716249592
2021,AFE,1,-3.0875785312911574e-5,-1.214013226780164e-4,9.052553736510482e-5,-2.822068335507261e-4,-5.708590740626925e-4,2.886522405119663e-4,L = 1,0.7456717552015385
2022,AFE,1,-9.095696676841847e-5,-3.4418870349872677e-4,2.532317367303083e-4,-4.700584519004033e-4,-9.050018959715444e-4,4.34943444071141e-4,L = 1,0.7357351771170058
2023,AFE,1,-1.8631551069925312e-4,-6.769228826293272e-4,4.906073719300741e-4,-6.605392768373001e-4,-0.0012429853337623295,5.824460569250293e-4,L = 1,0.7247610983756968
2024,AFE,1,-3.230025653311319e-4,-0.0011281710556995117,8.051684903683798e-4,-8.536498919792212e-4,-0.0015848093874350465,7.311594954558251e-4,L = 1,0.7136936250054232
2025,AFE,1,-5.070399965672046e-4,-0.0017064869328161647,0.0011994469362489601,-0.0010493909377948501,-0.00193047405698969,8.810831191948398e-4,L = 1,0.7028749609406902
2026,AFE,1,-7.903329686240745e-4,-0.002450990941133546,0.0016606579725094717,-0.001272094370515429,-0.0023095038266421368,0.0010374094561267078,L = 1,0.6775455366397407
2027,AFE,1,-0.001102246778650784,-0.003318077348293702,0.002215830569642918,-0.0014767402761681541,-0.0026669468353628023,0.001190206559194648,L = 1,0.6678055804764146
2028,AFE,1,-0.0014818507526286329,-0.004338301417338153,0.00285645066470952,-0.0016840161343284973,-0.0030282207207700694,0.0013442045864415718,L = 1,0.6584260497192815
2029,AFE,1,-0.0019351191403689239,-0.0055197301453813186,0.0035846110050123947,-0.001893922833879039,-0.003393325482863937,0.0014994026489848979,L = 1,0.6494177995299006
2030,AFE,1,-0.0024679677537415845,-0.0068702803228757325,0.004402312569134148,-0.0021064613202574807,-0.0037622611216444218,0.0016557998013869413,L = 1,0.6407762656315379
2031,AFE,1,-0.0031764443528591313,-0.00842588291640567,0.005249438563546538,-0.0023574426552625733,-0.004175587526632538,0.001818144871369964,L = 1,0.6230134711847924
2032,AFE,1,-0.003898864205918895,-0.010133142327091837,0.0062342781211729426,-0.0025783044100018294,-0.004555450368083049,0.0019771459580812194,L = 1,0.6152364113652147
2033,AFE,1,-0.004718436931263059,-0.012028372769616325,0.007309935838353265,-0.0028017988774924423,-0.004939134215933996,0.0021373353384415536,L = 1,0.6077244177880957
2034,AFE,1,-0.005640730732179855,-0.014118139390693285,0.00847740865851343,-0.003027927246431226,-0.005326639070185415,0.0022987118237541887,L = 1,0.6004621730893067
2035,AFE,1,-0.006671235939673448,-0.016408754902971112,0.009737518963297664,-0.0032566907617140556,-0.005717964930837295,0.00246127416912324,L = 1,0.5934343599424783
2036,AFE,1,-0.007947857531343638,-0.018902820821320554,0.010954963289976916,-0.0035342070515787705,-0.006162566710167066,0.0026283596585882957,L = 1,0.5795411908904504
2037,AFE,1,-0.009216599025537286,-0.021591055550294502,0.012374456524757216,-0.0037709980732824845,-0.006564316006049039,0.002793317932766554,L = 1,0.5731288355000517
2038,AFE,1,-0.010607483530951867,-0.024490646790962356,0.01388316326001049,-0.0040104265878278915,-0.006969876323013428,0.002959449735185537,L = 1,0.5668761375928101
2039,AFE,1,-0.012125403862674689,-0.027606114315485097,0.015480710452810409,-0.004252494078916759,-0.007379247661060213,0.0031267535821434536,L = 1,0.5607710768670843
2040,AFE,1,-0.013775148085708566,-0.030941650118871067,0.0171665020331625,-0.004497202086044753,-0.007792430020189424,0.003295227934144671,L = 1,0.5548024092836855
2041,AFE,1,-0.015671133930634795,-0.03436345493896065,0.018692321008325852,-0.004795889722534758,-0.008260378197915067,0.0034644884753803093,L = 1,0.5439593033217637
2042,AFE,1,-0.017582201238796724,-0.03810143945374789,0.020519238214951163,-0.005048239741703992,-0.008683351330717423,0.0036351115890134304,L = 1,0.5385423361723612
2043,AFE,1,-0.01963361948394793,-0.04206130432651756,0.02242768484256963,-0.005303233977440203,-0.009110125358397607,0.003806891380957404,L = 1,0.5332142024998995
2044,AFE,1,-0.021829310107796873,-0.046245273057824554,0.02441596295002768,-0.005560874202354441,-0.009540700280955619,0.003979826078601177,L = 1,0.5279666728207711
2045,AFE,1,-0.024173060205327834,-0.05065520084535102,0.02648214064002319,-0.005821162244394445,-0.00997507609839147,0.004153913853997025,L = 1,0.522792135813901
2046,AFE,1,-0.026642423127710146,-0.054863523587448726,0.02822110045973858,-0.006135200525452583,-0.010458666971352821,0.004323466445900238,L = 1,0.5143873126332483
2047,AFE,1,-0.029249147400063902,-0.05964229835735613,0.030393150957292225,-0.0064026920101446765,-0.010902157664969799,0.004499465654825122,L = 1,0.5095905388351556
2048,AFE,1,-0.032007344768257395,-0.06463983434379938,0.03263248957554199,-0.006672836070930134,-0.011349439029315699,0.004676602958385564,L = 1,0.5048356003200724
2049,AFE,1,-0.03491983851150704,-0.06985604697295933,0.03493620846145229,-0.006945634762481358,-0.011800511064390487,0.004854876301909129,L = 1,0.5001171691689882
2050,AFE,1,-0.037989295158588066,-0.07529048474136113,0.037301189582773064,-0.007221090194311682,-0.012255373770194242,0.00503428357588256,L = 1,0.4954303284261033
2051,AFE,1,-0.04088877498900001,-0.0800166008518135,0.03912782586281349,-0.007544271493174871,-0.012746379366579538,0.005202107873404667,L = 1,0.4889963513355953
2052,AFE,1,-0.044184813916362975,-0.085729297320295,0.04154448340393202,-0.007826453801890145,-0.013209641079367798,0.005383187277477653,L = 1,0.48460076896136006
2053,AFE,1,-0.047633943808045864,-0.09164218910096333,0.04400824529291747,-0.008111298498384678,-0.013676683075111684,0.005565384576727004,L = 1,0.48021818034522334
2054,AFE,1,-0.051237691854134515,-0.09775298339189087,0.046515291537756354,-0.008398807911636597,-0.01414750535381119,0.005748697442174592,L = 1,0.47584523687913394
2055,AFE,1,-0.05499741528127533,-0.10405906452961056,0.049061649248335226,-0.008688984424930851,-0.014622107915466344,0.005933123490535492,L = 1,0.47147886126128374
2056,AFE,1,-0.058165743479520415,-0.10902279246607793,0.05085704898655752,-0.009017806016359044,-0.015115202092851807,0.006097396076492764,L = 1,0.4664808874931498
2057,AFE,1,-0.06209902559527225,-0.1155011898663717,0.05340216427109945,-0.009314287881960646,-0.015597541861415237,0.006283253979454591,L = 1,0.4623516375275676
2058,AFE,1,-0.06617808860124241,-0.12214942965428599,0.05597134105304358,-0.009613443379152192,-0.01608365130046749,0.006470207921315296,L = 1,0.45822024066306927
2059,AFE,1,-0.07040309176205894,-0.12896337728334295,0.058560285521284006,-0.009915275102649087,-0.016573530410008534,0.006658255307359448,L = 1,0.45408461498819414
2060,AFE,1,-0.07477402348718509,-0.13593864749593798,0.06116462400875289,-0.010219785700897776,-0.01706717919003841,0.0068473934891406345,L = 1,0.4499428612498191
2061,AFE,1,-0.07799958721909395,-0.1407819424850425,0.06278235526594855,-0.010549882481653484,-0.017554597196936927,0.007004714715283443,L = 1,0.44595460296776995
2062,AFE,1,-0.08246655011343884,-0.14780000992692077,0.06533345981348193,-0.010860292128038832,-0.01805529501031261,0.007195002882273778,L = 1,0.44203961722185164
2063,AFE,1,-0.08706321312280707,-0.15494843174302875,0.06788521862022168,-0.011173388063338618,-0.018559751589737307,0.007386363526398689,L = 1,0.4381149125329943
2064,AFE,1,-0.0917884430121716,-0.1622217793217544,0.07043333630958282,-0.011489173137854617,-0.019067966935210984,0.007578793797356367,L = 1,0.4341792859384418
2065,AFE,1,-0.09664095330502331,-0.1696144672818145,0.0729735139767912,-0.01180765025499358,-0.01957994104673364,0.007772290791740061,L = 1,0.43023166093223447
2066,AFE,1,-0.09985434636960977,-0.17421933957457603,0.07436499320496626,-0.01214127421239783,-0.02006389862965819,0.00792262441726036,L = 1,0.4268469469954207
2067,AFE,1,-0.10475311485775896,-0.18157498385977378,0.07682186900201482,-0.012465394733351278,-0.02058242924152342,0.00811703450817214,L = 1,0.4230861948545875
2068,AFE,1,-0.10976121176075015,-0.18901980234163596,0.0792585905808858,-0.012792215471201986,-0.021104707431242074,0.008312491960040087,L = 1,0.4193136888252225
2069,AFE,1,-0.11487648007502271,-0.19654773316390417,0.08167125308888146,-0.013121739521608425,-0.02163073319881419,0.008508993677205765,L = 1,0.41552884774699766
2070,AFE,1,-0.1200966398666452,-0.20415265252370685,0.08405601265706164,-0.013453970032668551,-0.02216050654423975,0.008706536511571196,L = 1,0.41173118065316733
2071,AFE,1,-0.12312022780071408,-0.20829779908594936,0.08517757128523529,-0.013787329648833406,-0.022635581499718987,0.008848251850885582,L = 1,0.40892208971487354
2072,AFE,1,-0.12834210259015877,-0.215795121321945,0.08745301873178624,-0.014124933787911846,-0.023171407939411994,0.009046474151500146,L = 1,0.4052594803629271
2073,AFE,1,-0.13365092997146488,-0.22334217851076488,0.0896912485393,-0.014465253164516231,-0.02371097052783541,0.009245717363319176,L = 1,0.4015867004493151
2074,AFE,1,-0.13904385609029646,-0.23093289240132597,0.09188903631102951,-0.014808291108871182,-0.024254269264989265,0.009445978156118083,L = 1,0.3979036305981932
2075,AFE,1,-0.14451794204352975,-0.2385612061207808,0.09404326407725105,-0.015154051002941317,-0.024801304150873543,0.009647253147932227,L = 1,0.39421021383350163
2076,AFE,1,-0.14714313890851427,-0.2420350323599917,0.09489189345147742,-0.015482097936040955,-0.02526025866441336,0.009778160728372403,L = 1,0.39205850709388057
2077,AFE,1,-0.15258097124288017,-0.24950522082857163,0.09692424958569146,-0.015832929148812756,-0.025812802299010666,0.009979873150197912,L = 1,0.388465817524057
2078,AFE,1,-0.1580832432658268,-0.2569902081431531,0.09890696487732631,-0.01618649155952425,-0.026369070408667084,0.010182578849142834,L = 1,0.3848666670686202
2079,AFE,1,-0.1636467116632332,-0.2644843306140735,0.10083761895084031,-0.016542788721477866,-0.026929062993382578,0.010386274271904711,L = 1,0.381261221474701
2080,AFE,1,-0.1692680868822547,-0.27198200543960305,0.10271391855734835,-0.016901824238982066,-0.027492780053157136,0.01059095581417507,L = 1,0.37764968454928627
2081,AFE,1,-0.17131377150565952,-0.2746416086340656,0.1033278371284061,-0.017222653803633994,-0.027932269551512488,0.010709615747878492,L = 1,0.37622790531379685
2082,AFE,1,-0.17684153834311112,-0.28192389183909683,0.10508235349598571,-0.017586485070869937,-0.02850097944109934,0.010914494370229403,L = 1,0.3727330550472098
2083,AFE,1,-0.18241087923935417,-0.28919059062582364,0.10677971138646947,-0.017953064309438372,-0.02907340177396114,0.01112033746452277,L = 1,0.36923646497416307
2084,AFE,1,-0.1880184032489166,-0.2964367138334376,0.108418310584521,-0.01832239528403115,-0.029649536550097888,0.011327141266066737,L = 1,0.3657384714008106
2085,AFE,1,-0.19366070928951373,-0.30365738672832965,0.10999667743881592,-0.018694481809575975,-0.0302293837695096,0.011534901959933626,L = 1,0.3622394259001696
2086,AFE,1,-0.1951134157205291,-0.30556497303431174,0.11045155731378264,-0.019009761532105172,-0.03065104837107912,0.011641286838973947,L = 1,0.36146668322936376
2087,AFE,1,-0.20062422235733113,-0.31254042270483207,0.11191620034750094,-0.0193864420252651,-0.031235470979018475,0.011849028953753378,L = 1,0.3580855217988756
2088,AFE,1,-0.20615514649432298,-0.31947566698493834,0.11332052049061536,-0.019765887975767272,-0.03182359365939935,0.012057705683632082,L = 1,0.354707829738901
2089,AFE,1,-0.21170286115340775,-0.3263665118994449,0.11466365074603713,-0.020148103348467176,-0.03241541641222175,0.012267313063754578,L = 1,0.35133399587689795
2090,AFE,1,-0.21726405952256234,-0.33320889343509497,0.11594483391253263,-0.02053309215765179,-0.033010939237485645,0.012477847079833853,L = 1,0.3479644037025599
2091,AFE,1,-0.2180211919953119,-0.33438078266280913,0.11635959066749724,-0.02083965731951114,-0.0334098974940754,0.012570240174564255,L = 1,0.3479852811542543
2092,AFE,1,-0.22342134296230443,-0.34097211938076755,0.11755077641846312,-0.021229032736039447,-0.03400957338526403,0.01278054064922458,L = 1,0.3447518718889529
2093,AFE,1,-0.2288223806169538,-0.34750463128549725,0.11868225066854343,-0.021621191843114517,-0.03461293691260668,0.012991745069492164,L = 1,0.34152710491803023
2094,AFE,1,-0.2342212057123666,-0.3539749307950666,0.11975372508269999,-0.022016138794452713,-0.03521998807610334,0.013203849281650623,L = 1,0.33831131717073853
2095,AFE,1,-0.23961476256891012,-0.3603797571503369,0.12076499458142675,-0.02241387779236639,-0.035830726875753977,0.013416849083387583,L = 1,0.33510482258038743
2096,AFE,1,-0.2395278020898124,-0.36073049998994033,0.12120269790012794,-0.022710428125911907,-0.03620406581606097,0.013493637690149062,L = 1,0.3359923763128095
2097,AFE,1,-0.2446925474921502,-0.3668414183640416,0.12214887087189141,-0.023112363143807137,-0.03681854476783256,0.013706181624025425,L = 1,0.33297458999211155
2098,AFE,1,-0.24984037133489645,-0.37287921906398025,0.1230388477290838,-0.02351710073945612,-0.03743669871382329,0.013919597974367164,L = 1,0.32996970986460966
2099,AFE,1,-0.25496854741644126,-0.3788412723856097,0.12387272496916846,-0.02392464524400439,-0.03805852765403317,0.01413388241002878,L = 1,0.3269779034082712
2100,AFE,1,-0.2600744095258496,-0.3847250589116624,0.12465064938581283,-0.024335001036323238,-0.03868403158846218,0.014349030552138946,L = 1,0.3239992989758282
2021,AFE,2,-2.283323351759403e-5,-9.381429901234029e-5,7.098106549474625e-5,-2.502951755264436e-4,-5.45794894431279e-4,2.954997189048354e-4,L = 2,0.7566124379974255
2022,AFE,2,-1.0879560608723082e-4,-2.9811338614182947e-4,1.8931778005459865e-4,-4.7010328786565393e-4,-9.167847818146738e-4,4.466814939490198e-4,L = 2,0.6350529323917358
2023,AFE,2,-2.2702425935772208e-4,-4.7128961983777806e-4,2.44265360480056e-4,-5.92275087183254e-4,-0.0011127585275425781,5.204834403593242e-4,L = 2,0.5182914076574278
2024,AFE,2,-3.8136239024577634e-4,-6.215859800505763e-4,2.4022358980479996e-4,-7.160505581147733e-4,-0.0013130401928906931,5.969896347759197e-4,L = 2,0.3864688032140844
2025,AFE,2,-5.756647116520464e-4,-7.571708941864763e-4,1.8150618253442996e-4,-8.414256285578721e-4,-0.0015176297778590159,6.762041493011436e-4,L = 2,0.2397162700362972
2026,AFE,2,-8.559972965639373e-4,-9.241175730061446e-4,6.81202764422073e-5,-9.871818617175636e-4,-0.0017603793207421924,7.731974590246287e-4,L = 2,0.07371386329188911
2027,AFE,2,-0.0011546691680186516,-0.0010687001490651271,-8.596901895352449e-5,-0.0011180798479716707,-0.0019784651008778967,8.603852529062262e-4,L = 2,-0.08044260032033129
2028,AFE,2,-0.0015064751132123355,-0.001225924257412081,-2.805508558002545e-4,-0.0012505608818126775,-0.0022008478678481377,9.502869860354603e-4,L = 2,-0.22884844157704795
