year,estimator,L,cap,delta_bhm,delta_popgrowth
2096,AFE,0,30 C cap,-0.23521497896268573,-0.6499924603240976
2097,AFE,0,30 C cap,-0.23800765715407524,-0.6598675725994898
2098,AFE,0,30 C cap,-0.240667673931247,-0.6695565660198242
2099,AFE,0,30 C cap,-0.2431924347763006,-0.6790603692433528
2100,AFE,0,30 C cap,-0.24557892482806076,-0.6883767467744571
2021,AFE,1,no cap,-3.0875785312911574e-5,-2.679459693000208e-4
2022,AFE,1,no cap,-9.095696676841847e-5,-7.141311947653772e-4
2023,AFE,1,no cap,-1.8631551069925312e-4,-0.0013408433169285194
2024,AFE,1,no cap,-3.230025653311319e-4,-0.002150268627569174
2025,AFE,1,no cap,-5.070399965672046e-4,-0.0031444878524706787
2026,AFE,1,no cap,-7.903329686240745e-4,-0.004350730907391687
2027,AFE,1,no cap,-0.001102246778650784,-0.005749331730884322
2028,AFE,1,no cap,-0.0014818507526286329,-0.007342000339219279
2029,AFE,1,no cap,-0.0019351191403689239,-0.009130320231543032
2030,AFE,1,no cap,-0.0024679677537415845,-0.011115744420486351
2031,AFE,1,no cap,-0.0031764443528591313,-0.01334102814817073
2032,AFE,1,no cap,-0.003898864205918895,-0.015769315363024616
2033,AFE,1,no cap,-0.004718436931263059,-0.018401598793523655
2034,AFE,1,no cap,-0.005640730732179855,-0.02123872118109349
2035,AFE,1,no cap,-0.006671235939673448,-0.024281371857943213
2036,AFE,1,no cap,-0.007947857531343638,-0.027588633992089107
2037,AFE,1,no cap,-0.009216599025537286,-0.031105520632237815
2038,AFE,1,no cap,-0.010607483530951867,-0.03483217473935596
2039,AFE,1,no cap,-0.012125403862674689,-0.038768568968353234
2040,AFE,1,no cap,-0.013775148085708566,-0.042914503115927816
2041,AFE,1,no cap,-0.015671133930634795,-0.047333737989134206
2042,AFE,1,no cap,-0.017582201238796724,-0.05196402505718056
2043,AFE,1,no cap,-0.01963361948394793,-0.05680455339273516
2044,AFE,1,no cap,-0.021829310107796873,-0.06185432721433437
2045,AFE,1,no cap,-0.024173060205327834,-0.06711216452698232
2046,AFE,1,no cap,-0.026642423127710146,-0.07264158245966479
2047,AFE,1,no cap,-0.029249147400063902,-0.07837787715234346
2048,AFE,1,no cap,-0.032007344768257395,-0.08431921941656428
2049,AFE,1,no cap,-0.03491983851150704,-0.09046358807973742
2050,AFE,1,no cap,-0.037989295158588066,-0.09680877009002486
2051,AFE,1,no cap,-0.04088877498900001,-0.10341005099343992
2052,AFE,1,no cap,-0.044184813916362975,-0.11020819069294374
2053,AFE,1,no cap,-0.047633943808045864,-0.11720032852083262
2054,AFE,1,no cap,-0.051237691854134515,-0.12438341350137017
2055,AFE,1,no cap,-0.05499741528127533,-0.13175420610415234
2056,AFE,1,no cap,-0.058165743479520415,-0.13935410618647204
2057,AFE,1,no cap,-0.06209902559527225,-0.14713516079738642
2058,AFE,1,no cap,-0.06617808860124241,-0.15509351910797942
2059,AFE,1,no cap,-0.07040309176205894,-0.16322515109032998
2060,AFE,1,no cap,-0.07477402348718509,-0.17152585098880901
2061,AFE,1,no cap,-0.07799958721909395,-0.1800235972340687
2062,AFE,1,no cap,-0.08246655011343884,-0.18868164617896976
2063,AFE,1,no cap,-0.08706321312280707,-0.19749524661838502
2064,AFE,1,no cap,-0.0917884430121716,-0.206459488414106
2065,AFE,1,no cap,-0.09664095330502331,-0.21556930763345106
2066,AFE,1,no cap,-0.09985434636960977,-0.22484397606008566
2067,AFE,1,no cap,-0.10475311485775896,-0.2342536529002951
2068,AFE,1,no cap,-0.10976121176075015,-0.24379281538436348
2069,AFE,1,no cap,-0.11487648007502271,-0.25345581045896715
2070,AFE,1,no cap,-0.1200966398666452,-0.26323686143266756
2071,AFE,1,no cap,-0.12312022780071408,-0.2731441723959228
2072,AFE,1,no cap,-0.12834210259015877,-0.2831575926431401
2073,AFE,1,no cap,-0.13365092997146488,-0.29327099938901824
2074,AFE,1,no cap,-0.13904385609029646,-0.30347817536102617
2075,AFE,1,no cap,-0.14451794204352975,-0.3137728166712893
2076,AFE,1,no cap,-0.14714313890851427,-0.32414634113733054
2077,AFE,1,no cap,-0.15258097124288017,-0.3345945668277417
2078,AFE,1,no cap,-0.1580832432658268,-0.3451109808440703
2079,AFE,1,no cap,-0.1636467116632332,-0.35568901680578835
2080,AFE,1,no cap,-0.1692680868822547,-0.3663220635553903
2081,AFE,1,no cap,-0.17131377150565952,-0.3769875622692167
2082,AFE,1,no cap,-0.17684153834311112,-0.3876950669883644
2083,AFE,1,no cap,-0.18241087923935417,-0.3984379007343285
2084,AFE,1,no cap,-0.1880184032489166,-0.4092093768884424
2085,AFE,1,no cap,-0.19366070928951373,-0.4200028082730721
2086,AFE,1,no cap,-0.1951134157205291,-0.4307854234888775
2087,AFE,1,no cap,-0.20062422235733113,-0.4415772678045009
2088,AFE,1,no cap,-0.20615514649432298,-0.4523717289289043
2089,AFE,1,no cap,-0.21170286115340775,-0.4631622291491849
2090,AFE,1,no cap,-0.21726405952256234,-0.4739422343029658
2091,AFE,1,no cap,-0.2180211919953119,-0.48466988503924135
2092,AFE,1,no cap,-0.22342134296230443,-0.49537512349669366
2093,AFE,1,no cap,-0.2288223806169538,-0.5060516234534389
2094,AFE,1,no cap,-0.2342212057123666,-0.516693135305676
2095,AFE,1,no cap,-0.23961476256891012,-0.5272934944519827
2096,AFE,1,no cap,-0.2395278020898124,-0.5378038592734493
2097,AFE,1,no cap,-0.2446925474921502,-0.5482624112165444
2098,AFE,1,no cap,-0.24984037133489645,-0.5586633106988934
2099,AFE,1,no cap,-0.25496854741644126,-0.5690008322948436
2100,AFE,1,no cap,-0.2600744095258496,-0.5792693720975118
2021,AFE,1,30 C cap,-3.0875785312911574e-5,-2.679459693000208e-4
2022,AFE,1,30 C cap,-9.095696676841847e-5,-7.141311947653772e-4
2023,AFE,1,30 C cap,-1.8631551069925312e-4,-0.0013408433169285194
2024,AFE,1,30 C cap,-3.224289833801963e-4,-0.0021470924156837823
2025,AFE,1,30 C cap,-5.045898468755139e-4,-0.003131129665835841
2026,AFE,1,30 C cap,-7.848358131030686e-4,-0.0043219260474008925
2027,AFE,1,30 C cap,-0.0010927703847746217,-0.005700287099321688
2028,AFE,1,30 C cap,-0.00146729372695531,-0.007267935350550037
2029,AFE,1,30 C cap,-0.0019143224884549115,-0.00902647265994938
2030,AFE,1,30 C cap,-0.0024397163520074594,-0.010977376346390844
2031,AFE,1,30 C cap,-0.0031380018923107267,-0.013161829017975912
2032,AFE,1,30 C cap,-0.0038472103270013047,-0.015543691185039177
2033,AFE,1,30 C cap,-0.004644563905168542,-0.018122510705747108
2034,AFE,1,30 C cap,-0.005538644114574165,-0.020899301407420134
2035,AFE,1,30 C cap,-0.00653448476919416,-0.02387468173976104
2036,AFE,1,30 C cap,-0.0077629364081753804,-0.027103624309730567
2037,AFE,1,30 C cap,-0.008982529329364386,-0.03053257816597943
2038,AFE,1,30 C cap,-0.01031783696512445,-0.03416094135835801
2039,AFE,1,30 C cap,-0.011773771298832614,-0.03798782875001161
2040,AFE,1,30 C cap,-0.013355191043128656,-0.042012457249204105
2041,AFE,1,30 C cap,-0.015158589325202865,-0.04628974488259541
2042,AFE,1,30 C cap,-0.016985538614130324,-0.050763328042210065
2043,AFE,1,30 C cap,-0.01894647376737013,-0.0554329457247098
2044,AFE,1,30 C cap,-0.02104545118644252,-0.06029788955387849
2045,AFE,1,30 C cap,-0.0232863969566679,-0.06535728592247514
2046,AFE,1,30 C cap,-0.025620293940595174,-0.07066735020306258
2047,AFE,1,30 C cap,-0.02810914905320172,-0.07617082903534855
2048,AFE,1,30 C cap,-0.030743676683290477,-0.08186628188705203
2049,AFE,1,30 C cap,-0.033526844179627036,-0.08775209703082276
2050,AFE,1,30 C cap,-0.03646146181921606,-0.09382649121710884
2051,AFE,1,30 C cap,-0.03919084109625026,-0.10013617502152805
2052,AFE,1,30 C cap,-0.04233731166454302,-0.10663100877962994
2053,AFE,1,30 C cap,-0.04563102852055423,-0.11330702667278492
2054,AFE,1,30 C cap,-0.04907371671284988,-0.12016206586937839
2055,AFE,1,30 C cap,-0.05266616695960502,-0.12719343691987683
2056,AFE,1,30 C cap,-0.055635364163011736,-0.13443317257653153
2057,AFE,1,30 C cap,-0.059386196705315863,-0.14184360121342854
2058,AFE,1,30 C cap,-0.06327696213049616,-0.14942151837106132
2059,AFE,1,30 C cap,-0.06730174244742249,-0.15715700786222242
2060,AFE,1,30 C cap,-0.07146234851695643,-0.165047827094282
2061,AFE,1,30 C cap,-0.07445539030710469,-0.17311200048998288
2062,AFE,1,30 C cap,-0.07869660728250694,-0.18132382165790095
2063,AFE,1,30 C cap,-0.08305992572680465,-0.18967955331358255
2064,AFE,1,30 C cap,-0.08754460701428068,-0.1981745664790655
2065,AFE,1,30 C cap,-0.0921498640929116,-0.20680488342540237
2066,AFE,1,30 C cap,-0.09511478000958662,-0.21557863830648394
2067,AFE,1,30 C cap,-0.09975955115838941,-0.2244788597449202
2068,AFE,1,30 C cap,-0.10450884597310839,-0.23350102837595166
2069,AFE,1,30 C cap,-0.10936093782082701,-0.2426405047862109
2070,AFE,1,30 C cap,-0.11431287947485036,-0.25188981675771627
2071,AFE,1,30 C cap,-0.11709764524274147,-0.2612458584646101
2072,AFE,1,30 C cap,-0.12203889933578482,-0.27067630399034526
2073,AFE,1,30 C cap,-0.12705530784510777,-0.28018370923393865
2074,AFE,1,30 C cap,-0.13214471342578848,-0.28976357487455906
2075,AFE,1,30 C cap,-0.13730474673830595,-0.29941123697344885
2076,AFE,1,30 C cap,-0.1396748316513795,-0.3091033655195321
2077,AFE,1,30 C cap,-0.14479018915550113,-0.3188532603415051
2078,AFE,1,30 C cap,-0.14996240145294304,-0.32865634503451535
2079,AFE,1,30 C cap,-0.15518881751292446,-0.3385072926106767
2080,AFE,1,30 C cap,-0.16046692263864093,-0.3484015425179815
2081,AFE,1,30 C cap,-0.16226115832686971,-0.3582990063879433
2082,AFE,1,30 C cap,-0.16744188453308784,-0.36822571578155616
2083,AFE,1,30 C cap,-0.1726592447642159,-0.3781763101142219
2084,AFE,1,30 C cap,-0.177910854133024,-0.3881472521287175
2085,AFE,1,30 C cap,-0.1831940676692574,-0.3981340038604879
2086,AFE,1,30 C cap,-0.1843980970512381,-0.40807521963348814
2087,AFE,1,30 C cap,-0.18953963048467426,-0.418015909037196
2088,AFE,1,30 C cap,-0.19469614858515538,-0.42795257095164085
2089,AFE,1,30 C cap,-0.19986524499742597,-0.43788084828000506
2090,AFE,1,30 C cap,-0.20504246985207863,-0.44779068419991175
2091,AFE,1,30 C cap,-0.20555761244064208,-0.4576174572822064
2092,AFE,1,30 C cap,-0.210570724672002,-0.46741693612040525
2093,AFE,1,30 C cap,-0.21556807055195815,-0.47712993512971236
2094,AFE,1,30 C cap,-0.22054801877601593,-0.4867539978999964
2095,AFE,1,30 C cap,-0.22550881799873979,-0.49628873271200324
2096,AFE,1,30 C cap,-0.22517216414628405,-0.5056751287476303
2097,AFE,1,30 C cap,-0.22989412208737559,-0.5149736741213826
2098,AFE,1,30 C cap,-0.23459214209317059,-0.524184023618725
2099,AFE,1,30 C cap,-0.23926526686720662,-0.53330540747568
2100,AFE,1,30 C cap,-0.24391125573573813,-0.5423318641872326
2021,AFE,2,no cap,-2.283323351759403e-5,-2.3764691511451996e-4
2022,AFE,2,no cap,-1.0879560608723082e-4,-6.838882233290988e-4
2023,AFE,2,no cap,-2.2702425935772208e-4,-0.0012458490689574164
2024,AFE,2,no cap,-3.8136239024577634e-4,-0.0019248681638688314
2025,AFE,2,no cap,-5.756647116520464e-4,-0.0027222359262440987
2026,AFE,2,no cap,-8.559972965639373e-4,-0.0036587117789809165
2027,AFE,2,no cap,-0.0011546691680186516,-0.00471836613604959
2028,AFE,2,no cap,-0.0015064751132123355,-0.005902318175899257
2029,AFE,2,no cap,-0.0019152187563192813,-0.007211630774511479
2030,AFE,2,no cap,-0.002384684282001226,-0.008647308993304459
2031,AFE,2,no cap,-0.002999565287811201,-0.010239896518507097
2032,AFE,2,no cap,-0.0036119959214248043,-0.011962867368018104
2033,AFE,2,no cap,-0.004296018480253405,-0.013817022075182761
2034,AFE,2,no cap,-0.005055151447414863,-0.015803095726681815
2035,AFE,2,no cap,-0.0058928795178391224,-0.01792175659491224
2036,AFE,2,no cap,-0.006930743969047137,-0.02021381587192006
2037,AFE,2,no cap,-0.007940750795684126,-0.022641664735546962
2038,AFE,2,no cap,-0.009037750353850793,-0.025205733663101082
2039,AFE,2,no cap,-0.010224851291842363,-0.027906379326220088
2040,AFE,2,no cap,-0.011505117408748822,-0.030743883449396492
2041,AFE,2,no cap,-0.012991365012482659,-0.03376145954919341
2042,AFE,2,no cap,-0.01445863177281359,-0.0369178554970776
2043,AFE,2,no cap,-0.016024632105669956,-0.04021308832615833
2044,AFE,2,no cap,-0.01769198442891695,-0.04364709449038262
2045,AFE,2,no cap,-0.01946325307159469,-0.04721972903379412
2046,AFE,2,no cap,-0.02136314263724337,-0.050973719695409425
2047,AFE,2,no cap,-0.023322120037516658,-0.054867028101696524
2048,AFE,2,no cap,-0.02538771231516912,-0.05889922609951659
2049,AFE,2,no cap,-0.027562019097949975,-0.0630698001964839
2050,AFE,2,no cap,-0.0298470802166253,-0.06737815111608803
2051,AFE,2,no cap,-0.03207492659455602,-0.07186155390084725
2052,AFE,2,no cap,-0.034529304863922694,-0.07648209239863257
2053,AFE,2,no cap,-0.03709346877940789,-0.08123887666016805
2054,AFE,2,no cap,-0.039768916839355795,-0.08613092907695752
2055,AFE,2,no cap,-0.042557082108183875,-0.09115718438200437
2056,AFE,2,no cap,-0.04502624312289283,-0.09634582267944514
2057,AFE,2,no cap,-0.04795829273850771,-0.10166673268788651
2058,AFE,2,no cap,-0.05099890540967389,-0.10711856240295814
2059,AFE,2,no cap,-0.054148913125588116,-0.11269987253494151
2060,AFE,2,no cap,-0.05740907704066556,-0.11840913699399258
2061,AFE,2,no cap,-0.060008756253625006,-0.12426588808631622
2062,AFE,2,no cap,-0.06337384263459567,-0.13024753035507408
2063,AFE,2,no cap,-0.06684164317604546,-0.13635226379006637
2064,AFE,2,no cap,-0.07041230961342515,-0.14257820416782785
2065,AFE,2,no cap,-0.074085922749899,-0.14892338403837402
2066,AFE,2,no cap,-0.07680231666397963,-0.1554019040421718
2067,AFE,2,no cap,-0.08056194280303419,-0.16199562745977947
2068,AFE,2,no cap,-0.0844163184484833,-0.16870233118567335
2069,AFE,2,no cap,-0.08836501120529883,-0.17551971359131213
2070,AFE,2,no cap,-0.09240752236745509,-0.18244539601167886
2071,AFE,2,no cap,-0.09515579526080953,-0.18948641811807
2072,AFE,2,no cap,-0.0992667516569622,-0.1966308421378684
2073,AFE,2,no cap,-0.10346321858205565,-0.2038760610151863
2074,AFE,2,no cap,-0.10774430101469223,-0.2112193973854628
2075,AFE,2,no cap,-0.11210904589929693,-0.21865810553696297
2076,AFE,2,no cap,-0.11478650947620928,-0.22618794276311494
2077,AFE,2,no cap,-0.11920603320528878,-0.2338075377096741
2078,AFE,2,no cap,-0.12370127184377888,-0.24151395406318632
2079,AFE,2,no cap,-0.12827097332670767,-0.24930419572104467
2080,AFE,2,no cap,-0.1329138371104166,-0.25717520917706604
2081,AFE,2,no cap,-0.13542066896188798,-0.26511286258461975
2082,AFE,2,no cap,-0.14008551459205798,-0.2731251574898308
2083,AFE,2,no cap,-0.14481509707643414,-0.28120889226762047
2084,AFE,2,no cap,-0.14960789962666743,-0.2893608179361731
2085,AFE,2,no cap,-0.15446236746911857,-0.29757764089679983
2086,AFE,2,no cap,-0.15680608678332875,-0.3058375054318204
2087,AFE,2,no cap,-0.16166189032915956,-0.3141558045448626
2088,AFE,2,no cap,-0.16657127596186516,-0.32252914159407575
2089,AFE,2,no cap,-0.17153255314982807,-0.33095408648992564
2090,AFE,2,no cap,-0.1765440035286654,-0.33942717870482764
2091,AFE,2,no cap,-0.1786671249779731,-0.34791945831990034
2092,AFE,2,no cap,-0.18366525731586136,-0.35645328442249913
2093,AFE,2,no cap,-0.18870618014996365,-0.36502514078873716
2094,AFE,2,no cap,-0.19378810948408753,-0.37363149262666895
2095,AFE,2,no cap,-0.19890924274941046,-0.38226878975899614
2096,AFE,2,no cap,-0.20069146877983057,-0.39090129018745223
2097,AFE,2,no cap,-0.20575488059659042,-0.39955819025006034
2098,AFE,2,no cap,-0.21084978941708488,-0.4082359322245577
2099,AFE,2,no cap,-0.21597439083408554,-0.4169309551282081
2100,AFE,2,no cap,-0.22112687046902446,-0.42563969796898793
2021,AFE,2,30 C cap,-2.283323351759403e-5,-2.3764691511451996e-4
2022,AFE,2,30 C cap,-1.0879560608723082e-4,-6.838882233290988e-4
2023,AFE,2,30 C cap,-2.2702425935772208e-4,-0.0012458490689574164
2024,AFE,2,30 C cap,-3.8079713818950367e-4,-0.001921737807183188
2025,AFE,2,30 C cap,-5.731943931650552e-4,-0.0027087670664313057
2026,AFE,2,30 C cap,-8.504152108083085e-4,-0.0036294583078751996
2027,AFE,2,30 C cap,-0.001145197493087835,-0.004669359620296576
2028,AFE,2,30 C cap,-0.0014921751775858194,-0.005829597595036429
2029,AFE,2,30 C cap,-0.0018951030324114715,-0.007111245665616828
2030,AFE,2,30 C cap,-0.0023577173022178988,-0.008515322647106638
2031,AFE,2,30 C cap,-0.0029632796161698227,-0.010070939213254193
2032,AFE,2,30 C cap,-0.003563520532268716,-0.011752141629897461
2033,AFE,2,30 C cap,-0.0042262709944759225,-0.013558180998660352
2034,AFE,2,30 C cap,-0.004957854072527912,-0.015489866472695901
2035,AFE,2,30 C cap,-0.0057621690997115005,-0.01754795071226989
2036,AFE,2,30 C cap,-0.006753824742745107,-0.01976951513034597
2037,AFE,2,30 C cap,-0.0077171573197039045,-0.02211807314067371
2038,AFE,2,30 C cap,-0.008761686733489094,-0.02459348633497649
2039,AFE,2,30 C cap,-0.009890556817641727,-0.027195541609539742
2040,AFE,2,30 C cap,-0.011106901248079892,-0.029924120607235816
2041,AFE,2,30 C cap,-0.012506287590002496,-0.03281441190442003
2042,AFE,2,30 C cap,-0.013895279918264114,-0.03583032780656614
2043,AFE,2,30 C cap,-0.015377331667460026,-0.03897328084058904
2044,AFE,2,30 C cap,-0.016955191403991376,-0.0422435578885656
2045,AFE,2,30 C cap,-0.018631533317631677,-0.04564117616414376
2046,AFE,2,30 C cap,-0.020405812476043783,-0.049202382838236525
2047,AFE,2,30 C cap,-0.022256298842872946,-0.05289153262682578
2048,AFE,2,30 C cap,-0.024208179512295147,-0.05670840246705777
2049,AFE,2,30 C cap,-0.02626366119197976,-0.06065269538260165
2050,AFE,2,30 C cap,-0.02842488861562098,-0.0647240399437129
2051,AFE,2,30 C cap,-0.03049582706219134,-0.06895222976415427
2052,AFE,2,30 C cap,-0.03281285274907897,-0.07330696715089557
2053,AFE,2,30 C cap,-0.035234209188882315,-0.07778598533008929
2054,AFE,2,30 C cap,-0.03776150086438512,-0.08238878775664349
2055,AFE,2,30 C cap,-0.04039559641388324,-0.08711485705274069
2056,AFE,2,30 C cap,-0.042680524590389624,-0.09198426043781549
2057,AFE,2,30 C cap,-0.04544379975568669,-0.09697542980113372
2058,AFE,2,30 C cap,-0.048310004114084815,-0.1020873997004369
2059,AFE,2,30 C cap,-0.05127351310376704,-0.10731216036647395
2060,AFE,2,30 C cap,-0.05433626724701557,-0.11264919687121788
2061,AFE,2,30 C cap,-0.05671689459791518,-0.11811016415106668
2062,AFE,2,30 C cap,-0.059868761214682875,-0.12368185778238006
2063,AFE,2,30 C cap,-0.06311568393639344,-0.12936331166743575
2064,AFE,2,30 C cap,-0.06645816246943403,-0.1351528110304102
2065,AFE,2,30 C cap,-0.06989665484908447,-0.14104902381515871
2066,AFE,2,30 C cap,-0.07237604634227923,-0.14705637524692627
2067,AFE,2,30 C cap,-0.07589239013593518,-0.153167517955468
2068,AFE,2,30 C cap,-0.07949807733093506,-0.15938080857367098
2069,AFE,2,30 C cap,-0.08319299145808601,-0.16569453712183702
2070,AFE,2,30 C cap,-0.08697572781931506,-0.1721042539516897
2071,AFE,2,30 C cap,-0.08949096505739451,-0.17860664227370182
2072,AFE,2,30 C cap,-0.0933250072727545,-0.1851772007360012
2073,AFE,2,30 C cap,-0.0972286840915133,-0.19181870055390626
2074,AFE,2,30 C cap,-0.101206945064229,-0.1985391778586807
2075,AFE,2,30 C cap,-0.10525908593040356,-0.20533691547100374
2076,AFE,2,30 C cap,-0.10768036835852679,-0.21219477406486975
2077,AFE,2,30 C cap,-0.11177810842023705,-0.21912551344120412
2078,AFE,2,30 C cap,-0.11594353311311811,-0.22612747263512345
2079,AFE,2,30 C cap,-0.12017550235013785,-0.23319799062814917
2080,AFE,2,30 C cap,-0.12447303322073111,-0.24033508478691545
2081,AFE,2,30 C cap,-0.12672203368315071,-0.24751044350059515
2082,AFE,2,30 C cap,-0.13103294105154406,-0.25474325434973766
2083,AFE,2,30 C cap,-0.135400797111062,-0.26203055997864
2084,AFE,2,30 C cap,-0.13982500965728972,-0.2693722788388402
2085,AFE,2,30 C cap,-0.14430457670413155,-0.2767669812915392
2086,AFE,2,30 C cap,-0.1463767614624648,-0.2841681540835813
2087,AFE,2,30 C cap,-0.1508355171890967,-0.2916094102842358
2088,AFE,2,30 C cap,-0.15533904144684696,-0.2990928655998033
2089,AFE,2,30 C cap,-0.15988654738549724,-0.30661686921527265
2090,AFE,2,30 C cap,-0.16447386420832488,-0.3141730099729304
2091,AFE,2,30 C cap,-0.166308319885891,-0.3217134638050959
2092,AFE,2,30 C cap,-0.17086713548676136,-0.32928131464072496
2093,AFE,2,30 C cap,-0.1754417019680523,-0.336814944917713
2094,AFE,2,30 C cap,-0.18002861124476344,-0.3443060140329556
2095,AFE,2,30 C cap,-0.18463251098934463,-0.3517758094884702
2096,AFE,2,30 C cap,-0.1860762834836387,-0.35918939386261217
2097,AFE,2,30 C cap,-0.19059862804484495,-0.36659106653975093
2098,AFE,2,30 C cap,-0.19513783945828522,-0.37398082695718204
2099,AFE,2,30 C cap,-0.199693294897907,-0.38135806000489725
2100,AFE,2,30 C cap,-0.20426235589363217,-0.38871501602115943
2021,IFE,0,no cap,-7.469157774575574e-5,-2.3171497871610214e-4
2022,IFE,0,no cap,-2.3033108799375146e-4,-6.97582987895129e-4
2023,IFE,0,no cap,-4.731004818310236e-4,-0.001399875323649935
2024,IFE,0,no cap,-8.090973811082369e-4,-0.002340690912700172
2025,IFE,0,no cap,-0.0012443246421254273,-0.003521950845418176
2026,IFE,0,no cap,-0.0018339456356137873,-0.004971266316231349
2027,IFE,0,no cap,-0.0025035060721474434,-0.006668539805225304
2028,IFE,0,no cap,-0.0032930993951424403,-0.008615086054631016
2029,IFE,0,no cap,-0.0042084708403600235,-0.010812015330338598
2030,IFE,0,no cap,-0.005255224024153349,-0.013260228877606806
2031,IFE,0,no cap,-0.00654765505646282,-0.01600535175904816
2032,IFE,0,no cap,-0.007892154661705453,-0.019006763319428965
2033,IFE,0,no cap,-0.009384842520579029,-0.022264645267038752
2034,IFE,0,no cap,-0.011030636562295304,-0.02577894825960647
2035,IFE,0,no cap,-0.012834286851531651,-0.029549388759243622
2036,IFE,0,no cap,-0.014970161641208346,-0.033640304758506545
2037,IFE,0,no cap,-0.017116651741841737,-0.03798963192366689
2038,IFE,0,no cap,-0.0194326050632061,-0.04259627019570833
2039,IFE,0,no cap,-0.02192180909828456,-0.04745886975988933
2040,IFE,0,no cap,-0.02458786069361718,-0.05257582976469799
2041,IFE,0,no cap,-0.027595357611512217,-0.05801636297269619
2042,IFE,0,no cap,-0.03061656911558641,-0.06370991773438262
2043,IFE,0,no cap,-0.03381938632770276,-0.06965402470321413
2044,IFE,0,no cap,-0.03720623299356329,-0.07584595756054857
