ssp,spec,estimator,method,L,component,year,point,q025,q05,q10,q25,q50,q75,q90,q95,q975
SSP585,Interactive,AFE,Country resampling,0,All,2021,-3.580295461824701e-5,-2.7987776396393437e-4,-2.3855583852799289e-4,-2.0106354408663262e-4,-1.2005576009974095e-4,-2.832613514791582e-5,5.0169125257848446e-5,1.24807187562559e-4,1.7616118800531917e-4,2.1799918580185922e-4
SSP585,Interactive,AFE,Country resampling,0,All,2022,-1.1628852913803112e-4,-8.493867781861869e-4,-7.263879515082783e-4,-6.10819338205415e-4,-3.7083224946204973e-4,-9.50689504667368e-5,1.434133260467818e-4,3.6551671121802813e-4,5.197428773338724e-4,6.462691160695199e-4
SSP585,Interactive,AFE,Country resampling,0,All,2023,-2.501962541585634e-4,-0.0017141799021299197,-0.0014742683648929446,-0.0012392541439590788,-7.605660190703745e-4,-2.1247277263503062e-4,2.692685114322746e-4,7.151921806372921e-4,0.0010263360291381408,0.0012797839017765931
SSP585,Interactive,AFE,Country resampling,0,All,2024,-4.461130653229395e-4,-0.0028916349140232387,-0.0024910383238437193,-0.0021017496945489153,-0.0012913864261326902,-3.8848039993932826e-4,4.2381053216966613e-4,0.0011659656343337545,0.001690770119146755,0.0021134714595029136
SSP585,Interactive,AFE,Country resampling,0,All,2025,-7.124600653541924e-4,-0.004387964167011596,-0.0037857405418266817,-0.0032079056270920337,-0.0019840599580787377,-6.088864191325927e-4,5.799612349302596e-4,0.001715053716329962,0.0025148345720225835,0.0031206714761482673
SSP585,Interactive,AFE,Country resampling,0,All,2026,-0.001120456238030032,-0.00628948755347101,-0.0054400401825503595,-0.004630891525688607,-0.002915199228118004,-9.439364981246867e-4,6.942929249937335e-4,0.0022794944726787234,0.0034169138685629635,0.004237681889350062
SSP585,Interactive,AFE,Country resampling,0,All,2027,-0.0015758268081766946,-0.00847963798338556,-0.007343541796874458,-0.006243589577972087,-0.003988851806596999,-0.0013473088440156267,8.678799481696697e-4,0.0029950629794737397,0.004483839505894556,0.005584728049328956
SSP585,Interactive,AFE,Country resampling,0,All,2028,-0.002130497069404602,-0.011024567981300897,-0.009554520349113456,-0.008134535109289343,-0.005257669554066674,-0.0018539064565529229,0.0010450824620725219,0.003777255837632399,0.005688841911396232,0.007097607193729731
SSP585,Interactive,AFE,Country resampling,0,All,2029,-0.0027924741713031276,-0.013912979426610073,-0.012080241372649968,-0.01028070178920195,-0.006719974272507312,-0.002463199554103346,0.0012114790475531434,0.00460288757699945,0.007016485840464365,0.008770647109731914
SSP585,Interactive,AFE,Country resampling,0,All,2030,-0.003569547013051233,-0.017140727158561457,-0.014927354819079947,-0.012700413367489715,-0.00835803062437715,-0.0031715821672251288,0.0013404920331726022,0.005543868288683853,0.008460905582212668,0.010598479638805662
SSP585,Interactive,AFE,Country resampling,0,All,2031,-0.004605257833709908,-0.020794239845322155,-0.018257768511697945,-0.015575083794909572,-0.010338441292151196,-0.00411457388869485,0.001373814160249509,0.006459570075505107,0.009899847298509944,0.012383140571403446
SSP585,Interactive,AFE,Country resampling,0,All,2032,-0.0056578229476743624,-0.024711803158966778,-0.021791285842931794,-0.01863636080483072,-0.012392217395218535,-0.005083730536257436,0.0014722235427061525,0.00738216834451564,0.011468857996451464,0.014476931624132345
SSP585,Interactive,AFE,Country resampling,0,All,2033,-0.006848694710859582,-0.02898022216949299,-0.025663463541151878,-0.021991554347517275,-0.01465484924268376,-0.006199853966751878,0.0014811341678079848,0.008390542278762014,0.013104376818428376,0.016709469425659734
SSP585,Interactive,AFE,Country resampling,0,All,2034,-0.008184669163115,-0.03360061252787207,-0.029877679097669863,-0.025635765288786118,-0.0171496116994789,-0.007410234609856403,0.0014632199979218163,0.009471572103809623,0.014780198320289671,0.019076590508435073
SSP585,Interactive,AFE,Country resampling,0,All,2035,-0.009672289138148216,-0.038631058104363375,-0.034435205742579286,-0.029636544767471552,-0.019936549131589903,-0.00874922476738621,0.0013509854427258827,0.010543502744929725,0.016581715165045703,0.02157438403257693
SSP585,Interactive,AFE,Country resampling,0,All,2036,-0.011526046639014687,-0.04421307701104239,-0.03961033186145016,-0.034123244998181715,-0.02304570394783753,-0.010435930090805456,9.495530771460037e-4,0.011400658991795189,0.018116011796620386,0.0238850332063342
SSP585,Interactive,AFE,Country resampling,0,All,2037,-0.013349151181536678,-0.05002658622623804,-0.044880211790792546,-0.038587518172854184,-0.02627125397683147,-0.012114820090295464,7.077436136640469e-4,0.012357715534625908,0.019978613867906937,0.026616532074080664
SSP585,Interactive,AFE,Country resampling,0,All,2038,-0.015339683288931094,-0.05620919519962159,-0.05047767183466905,-0.043481462378822555,-0.029762598912140503,-0.013926859839551609,4.3574855970401893e-4,0.013462160167937758,0.02188821634749636,0.029470177915912766
SSP585,Interactive,AFE,Country resampling,0,All,2039,-0.01750278505186753,-0.06275928904158604,-0.05641214033190631,-0.048698439029791984,-0.03339426251809971,-0.0158969070713727,1.5921214967368202e-4,0.014633128713718736,0.02389040177812928,0.03244328836256498
