ssp,spec,estimator,method,L,component,year,point,q025,q05,q10,q25,q50,q75,q90,q95,q975
SSP585,Interactive,AFE,Country resampling,1,IE,2040,0.0171665020331625,-0.03766554742336972,-0.019325454255399457,-0.007695641247563056,0.005795188002240215,0.016138295189566998,0.02875852765859288,0.03880617352263457,0.04486207985470372,0.049900937429261445
SSP585,Interactive,AFE,Country resampling,1,IE,2041,0.018692321008325852,-0.04127260991817072,-0.021082725354176577,-0.008852788858647043,0.006044096065927401,0.017559256637456222,0.0312460908234882,0.04229707864796799,0.04898711863377524,0.0540304541935458
SSP585,Interactive,AFE,Country resampling,1,IE,2042,0.020519238214951163,-0.04489114461728568,-0.022693162129629643,-0.00983092677139774,0.0066031371711039455,0.019229730828402625,0.03424197782970406,0.04591446255696531,0.05356862928347804,0.05872825370027109
SSP585,Interactive,AFE,Country resampling,1,IE,2043,0.02242768484256963,-0.04864621198590909,-0.02497834617712044,-0.010734300088587034,0.007200040879721592,0.020960886707379167,0.037356095456021615,0.050306625730492695,0.0582583478544788,0.06421283743168744
SSP585,Interactive,AFE,Country resampling,1,IE,2044,0.02441596295002768,-0.05254033349010438,-0.027071206264745917,-0.011730464477531165,0.007896423194523328,0.022723779099864727,0.04053424063046179,0.054642024093723554,0.06304736233669936,0.06992369976986598
SSP585,Interactive,AFE,Country resampling,1,IE,2045,0.02648214064002319,-0.056576771622681085,-0.029069898502575277,-0.012796774764286077,0.00880612620462598,0.024451138208557155,0.043838574260766816,0.05924173842979675,0.06812051605173244,0.07496677046906411
SSP585,Interactive,AFE,Country resampling,1,IE,2046,0.02822110045973858,-0.0612927760712764,-0.031532035378329167,-0.014512882757117086,0.00910715080582869,0.0260211537064739,0.046963297224951406,0.06396334033017934,0.07283766697996051,0.08008052076674967
SSP585,Interactive,AFE,Country resampling,1,IE,2047,0.030393150957292225,-0.0657436788864428,-0.03433656940689598,-0.015829731534225577,0.009618201416596861,0.02793360509096704,0.05033366166600334,0.06878181455923214,0.07847450498343488,0.08614032916278784
SSP585,Interactive,AFE,Country resampling,1,IE,2048,0.03263248957554199,-0.07035865053801969,-0.03731043084057337,-0.017255416214140652,0.010313953194756198,0.029848424503430115,0.05395759310512091,0.07349914981241325,0.08332230221198932,0.09219706588261961
SSP585,Interactive,AFE,Country resampling,1,IE,2049,0.03493620846145229,-0.0751451316884893,-0.04044092797002461,-0.018590018647346506,0.010875287385235216,0.0319070407520744,0.05758240843443807,0.07817828122988348,0.08895222710261945,0.09833719066848075
SSP585,Interactive,AFE,Country resampling,1,IE,2050,0.037301189582773064,-0.0804188548976146,-0.043733655224105696,-0.01992449693855007,0.011250331015776077,0.03411983719278183,0.061372214772581646,0.08288149683807827,0.09522196776521354,0.10509404743822008
