ssp,spec,estimator,L,year,point,q025,q05,q10,q25,q50,q75,q90,q95,q975
SSP585,Interactive,AFE,0,2056,-0.07951262904260648,-0.2237959120396248,-0.20464146715648465,-0.17330991774277096,-0.1263260370975031,-0.07215456840722301,-0.020806764429169095,0.03725005325288657,0.06978658963440305,0.09439378175029686
SSP585,Interactive,AFE,0,2057,-0.08451044321449275,-0.23519484069925223,-0.21532324670113287,-0.18267701492286714,-0.13349940238131056,-0.07666960916860455,-0.02282468531373502,0.03872883105061847,0.07303561460364637,0.09908035947932207
SSP585,Interactive,AFE,0,2058,-0.08965221421707881,-0.24674039824695768,-0.22603104936060475,-0.19222614701252258,-0.14091962453335974,-0.08132210986251565,-0.024942064878175046,0.04034548226181034,0.0763429903975189,0.103877498166281
SSP585,Interactive,AFE,0,2059,-0.09493487473083106,-0.25841892811240824,-0.23678276380777286,-0.2019494760430234,-0.14857314986575848,-0.08611064609400954,-0.027158664409354966,0.04182531765026386,0.07970944743788458,0.10878758842013833
SSP585,Interactive,AFE,0,2060,-0.10035512756853537,-0.2702167019424508,-0.2478423477827094,-0.2118389627569243,-0.15648533065173795,-0.09103364635436167,-0.029465483457915442,0.04314218431980993,0.08314669944106858,0.11381331372411702
SSP585,Interactive,AFE,0,2061,-0.10407693753617742,-0.2802563061479354,-0.2570141133284811,-0.2205130774585248,-0.16317038922847565,-0.09439590158294131,-0.029458420335306906,0.046426465481807774,0.08930601351131094,0.12131209764742092
SSP585,Interactive,AFE,0,2062,-0.10948573428943753,-0.2920159344689836,-0.2681371384018108,-0.23039798789691732,-0.17091826670928925,-0.09919025507049584,-0.031443881307010924,0.048287137873580396,0.09348959135673,0.1269684116211616
SSP585,Interactive,AFE,0,2063,-0.11500028169055843,-0.30384061099490706,-0.2795661375566757,-0.24039804380360907,-0.17874256140075423,-0.1040651881579876,-0.033471107104770664,0.049971623313628685,0.09781281482647464,0.13278644369190706
SSP585,Interactive,AFE,0,2064,-0.1206159813365274,-0.31575954118751065,-0.29108097526728105,-0.25050427776516243,-0.18656961717252846,-0.10906775958985954,-0.035543936512774404,0.05163092788092574,0.10228281648977286,0.13877213502925442
SSP585,Interactive,AFE,0,2065,-0.1263280784400731,-0.3279917273375518,-0.3022749726771707,-0.26070767457900323,-0.19425159671263748,-0.11417004714507617,-0.03755097846322078,0.05328594279217971,0.1065353964518783,0.1449049382840043
SSP585,Interactive,AFE,0,2066,-0.12965551044887413,-0.33804920382252823,-0.3103943998300778,-0.26902788690813223,-0.20027054053712057,-0.117298281423524,-0.037004355435852704,0.05748912788320055,0.11295979225041852,0.1535947247891458
SSP585,Interactive,AFE,0,2067,-0.13526603572480256,-0.35014495045194693,-0.3211868544456501,-0.2792109906489116,-0.20793748023459,-0.12252701332463184,-0.03868860606060087,0.059519905809521226,0.11756560570558235,0.1600420374173616
SSP585,Interactive,AFE,0,2068,-0.14094079951013683,-0.36225430903247685,-0.3319576174166459,-0.2894551446674362,-0.21593451161887717,-0.1276547172949996,-0.04043288439736653,0.06154228726478351,0.12228256492931257,0.16665622721859794
SSP585,Interactive,AFE,0,2069,-0.14667428525972848,-0.3743658824759993,-0.3434843230838383,-0.29975146000912645,-0.22426722734765892,-0.1328281896379933,-0.04216822631024733,0.0636078946368389,0.12711710419818925,0.1734427687285102
SSP585,Interactive,AFE,0,2070,-0.1524608986763033,-0.38646781194178853,-0.3552055533671452,-0.310089696561525,-0.23248085701904525,-0.13827637595763725,-0.04375936805916689,0.06571604212981078,0.13207324870658685,0.1804074824871683
SSP585,Interactive,AFE,0,2071,-0.15512380069780807,-0.3948320802913212,-0.36382086796896146,-0.31795177410578707,-0.23736216455562592,-0.14012029897341122,-0.04264594921313883,0.0703446581834133,0.14110982720441625,0.19391567540763227
SSP585,Interactive,AFE,0,2072,-0.16073587859089666,-0.4057072498073792,-0.3745975525765921,-0.32814092907440545,-0.2452625687000683,-0.145112725498578,-0.04431758289350393,0.07325560365916904,0.1470996144184136,0.20375828060747767
SSP585,Interactive,AFE,0,2073,-0.16637154520090103,-0.4164780378432709,-0.38455297545287304,-0.3383382589039242,-0.25309072380727154,-0.15011851343925697,-0.04578948665431032,0.07653208543388978,0.15289554704688973,0.2123789971504878
SSP585,Interactive,AFE,0,2074,-0.17202496197329642,-0.4271353242811796,-0.39551217976325925,-0.3485355096458084,-0.26114388016198825,-0.15532537516016837,-0.047414631241157024,0.07920580377612449,0.15860247728810054,0.220566136434588
SSP585,Interactive,AFE,0,2075,-0.17769028359158545,-0.4384141478402413,-0.40642657744328986,-0.35872457930066454,-0.26941984148947734,-0.15982771230671022,-0.049035616023485384,0.0819706459678251,0.16445451403864594,0.22896386887962414
SSP585,Interactive,AFE,0,2076,-0.17940467170816288,-0.4469663154882574,-0.41404704380146545,-0.36599268599676327,-0.27412955077061496,-0.16148705258712592,-0.0457919302748617,0.08930029354377803,0.17584860634805632,0.24134167203398826
