ssp,spec,estimator,L,point,mean,median,sd,q025,q05,q95,q975,p_worse_than_50pct
SSP585,Interactive,AFE,0,-0.2593843761142064,-0.16216524247230946,-0.22160595275501493,0.3530306721496875,-0.662038751770819,-0.616619440385894,0.5011198550749155,0.6793827162642798,0.152
SSP585,Interactive,AFE,1,-0.26007440952584715,-0.06703798774765292,-0.1871046999925785,0.5674741412604813,-0.7460479050817072,-0.713492895813121,0.9832386834131823,1.4048393121230074,0.197
SSP585,Interactive,AFE,2,-0.22112687046902169,0.08015545725460728,-0.15221939684418012,0.8285780417326998,-0.7733966971263384,-0.7189351420010313,1.6368548654272577,2.2414496639758013,0.21
SSP585,Interactive,IFE,0,-0.3663007987576946,-0.32732516614988366,-0.364746233841548,0.20531211796045296,-0.625795999540364,-0.5905993062974445,0.06546887058237676,0.1499839051432753,0.202
SSP585,Interactive,IFE,1,-0.4886624798402902,-0.406820032770387,-0.44896198416588196,0.2499626721958041,-0.7505651826818032,-0.7223312076659374,0.06517273176855448,0.1614304010882236,0.4
SSP585,Interactive,IFE,2,-0.46551716018770817,-0.35985763849119573,-0.41597416501715495,0.28739684777469243,-0.7520345591322938,-0.712768087082275,0.1727155557633907,0.35819300380562435,0.352
