ssp,spec,estimator,L,ISO_C3,delta_2100
SSP585,Direct,IFE,0,BOL,-0.599267516994749
SSP585,Direct,IFE,0,BRA,-0.7743670588176842
SSP585,Direct,IFE,0,BRN,-0.8637212292150136
SSP585,Direct,IFE,0,BWA,-0.8527468492287799
SSP585,Direct,IFE,0,CAF,-0.8268097266859289
SSP585,Direct,IFE,0,CAN,0.75851829527554
SSP585,Direct,IFE,0,CHE,0.4236877827811638
SSP585,Direct,IFE,0,CHL,-0.2750586978541585
SSP585,Direct,IFE,0,CHN,-0.3334492659915036
SSP585,Direct,IFE,0,CIV,-0.8391912321679386
SSP585,Direct,IFE,0,CMR,-0.811537775251633
SSP585,Direct,IFE,0,COD,-0.8080738158644658
SSP585,Direct,IFE,0,COG,-0.8105764631283784
SSP585,Direct,IFE,0,COL,-0.7830663506124718
SSP585,Direct,IFE,0,CPV,-0.5237107249949013
SSP585,Direct,IFE,0,CRI,-0.8322611182163877
SSP585,Direct,IFE,0,CUB,-0.8266546611050375
SSP585,Direct,IFE,0,CYP,-0.6658558933049512
SSP585,Direct,IFE,0,CZE,0.16311573923197709
SSP585,Direct,IFE,0,DEU,0.07837961158796047
SSP585,Direct,IFE,0,DNK,0.1987792470365164
SSP585,Direct,IFE,0,DOM,-0.8219101898750972
SSP585,Direct,IFE,0,DZA,-0.7278474856646933
SSP585,Direct,IFE,0,ECU,-0.752897230493949
SSP585,Direct,IFE,0,EGY,-0.8366037486179618
SSP585,Direct,IFE,0,ESP,-0.4913917358016867
SSP585,Direct,IFE,0,EST,0.8955768007322802
SSP585,Direct,IFE,0,ETH,-0.6984455891945544
SSP585,Direct,IFE,0,FIN,1.6868336711887792
SSP585,Direct,IFE,0,FJI,-0.6971496452525094
SSP585,Direct,IFE,0,FRA,-0.22911250475744915
SSP585,Direct,IFE,0,GAB,-0.7809566810520387
SSP585,Direct,IFE,0,GBR,0.056320209276965905
SSP585,Direct,IFE,0,GEO,0.13140921782334036
SSP585,Direct,IFE,0,GHA,-0.8518136436403336
SSP585,Direct,IFE,0,GIN,-0.8594940225704509
SSP585,Direct,IFE,0,GNB,-0.8974081840213419
SSP585,Direct,IFE,0,GNQ,-0.8435324532105182
SSP585,Direct,IFE,0,GRC,-0.6276332811374552
SSP585,Direct,IFE,0,GTM,-0.8202841065158486
SSP585,Direct,IFE,0,GUY,-0.8532829183002049
SSP585,Direct,IFE,0,HND,-0.8518700836930166
SSP585,Direct,IFE,0,HRV,-0.3103027574492556
SSP585,Direct,IFE,0,HTI,-0.8470164556619505
SSP585,Direct,IFE,0,HUN,-0.22313072986680327
SSP585,Direct,IFE,0,IDN,-0.7879669933936232
SSP585,Direct,IFE,0,IND,-0.8376730113135259
SSP585,Direct,IFE,0,IRL,0.0974211565825398
SSP585,Direct,IFE,0,IRN,-0.635974646888031
SSP585,Direct,IFE,0,IRQ,-0.8907642729549938
SSP585,Direct,IFE,0,ISL,1.7448495048487116
SSP585,Direct,IFE,0,ISR,-0.7572609960539872
SSP585,Direct,IFE,0,ITA,-0.40599920130531786
SSP585,Direct,IFE,0,JAM,-0.9101990468981158
SSP585,Direct,IFE,0,JPN,-0.3766716068745949
SSP585,Direct,IFE,0,KAZ,0.3353036820720743
SSP585,Direct,IFE,0,KEN,-0.6848419560218411
SSP585,Direct,IFE,0,KGZ,1.6915220579209218
SSP585,Direct,IFE,0,KHM,-0.8300849550638504
SSP585,Direct,IFE,0,KOR,-0.1844057077492719
SSP585,Direct,IFE,0,LAO,-0.7641927559124254
SSP585,Direct,IFE,0,LBN,-0.7679572516657137
SSP585,Direct,IFE,0,LBR,-0.7946944668213318
SSP585,Direct,IFE,0,LBY,-0.7835682677152773
SSP585,Direct,IFE,0,LKA,-0.7857828120338373
SSP585,Direct,IFE,0,LTU,0.5282480264915532
SSP585,Direct,IFE,0,LVA,0.6541700079513522
SSP585,Direct,IFE,0,MAR,-0.7530020537127562
