spec,estimator,T_pct,L0,L1,L2,L3,L4,L5,L1/L0,L2/L0
Direct,AFE,10%,0.0027526480077087346,0.0018905599056747695,0.0018872034269885106,-2.6994084496828434e-4,-7.234423559355657e-4,-0.0036111950909241243,0.6868149870162459,0.6855956234518311
Direct,AFE,50%,-0.007486624699401093,-0.004462040897270209,-0.0028733463074851195,-0.004351475323410173,-0.0034673840114445176,-0.002361868255699656,0.5960016798527591,0.38379729488977565
Direct,AFE,90%,-0.01143246430012907,-0.006910099908187199,-0.004707887314531237,-0.005924348791814795,-0.004524798337256571,-0.0018804235826558498,0.6044278579648996,0.41179987017130554
Direct,IFE,10%,0.0014820518667479224,1.1650771665173108e-4,4.4976959724419684e-4,0.0051425683800542825,0.005714909624486617,-5.250697829046807e-4,0.07861244215925105,0.30347763619847506
Direct,IFE,50%,-0.006008021380851017,-0.005078290284281798,-0.005797458161333259,-0.0019081607846553068,-0.0026529820811624777,-0.005288859368138185,0.8452516997471927,0.9649529843237789
Direct,IFE,90%,-0.00889442049122995,-0.007080174622769333,-0.008204910271427508,-0.004625252823116273,-0.005877660181964154,-0.007124648894663608,0.7960242749654692,0.9224783424077702
Interactive,AFE,10%,0.0033676929707578914,0.002360664093459923,0.001258987875550612,-0.0015229249826894705,-0.002998479119820408,-0.006287917161210492,0.7009736677178922,0.3738428314227469
Interactive,AFE,50%,-0.006647974074682811,-0.004589768788101075,-0.0028621643951018795,-0.00428438447864317,-0.003636962622867844,-0.002211191956434969,0.6904011261987454,0.43053182261972633
Interactive,AFE,90%,-0.010507644266703822,-0.00726821032303763,-0.004450305105416123,-0.005348549536711642,-0.0038830107126883997,-6.401718054510654e-4,0.6917069267436876,0.4235302406951538
Interactive,IFE,10%,0.0017445809772880867,-4.3930785073702846e-5,-8.461000165895178e-5,0.004367715423527875,0.0045663287400570214,-0.001528557891751668,-0.02518128172072144,-0.04849875285839479
Interactive,IFE,50%,-0.00546543823657488,-0.005651775148219903,-0.005362450702516452,-0.0023091290925166246,-0.0036243353594895425,-0.005562869000164786,1.0340936817102881,0.9811565825830337
Interactive,IFE,90%,-0.00824391480906773,-0.007812832383022985,-0.007396336647298143,-0.004882139720607245,-0.0067807164506788085,-0.007117544316330542,0.9477090149487494,0.8971874186718536
