ISO_C3,start,end,avg_level,trend_annual,Pvalue,avg_vol_withinYr,avg_vol_btwYr,inter_quartile,mad
GMB,26.47123584,27.15460449,26.68964742,0.019887941,1.79E-09,1.357966925,0.496784927,0.67229493,0.402907081
GNB,26.61446623,27.39831121,26.91025151,0.020870614,3.78E-12,1.419643917,0.473164035,0.684023945,0.39294549
GNQ,24.0027016,24.42457899,24.08504556,0.01186925,1.43E-08,0.841227521,0.30953082,0.50551775,0.259578693
GRC,14.91331741,15.68850627,14.91188412,0.019284297,1.60E-06,7.019459808,0.572567101,0.977005495,0.487094214
GRL,-6.182020596,-5.306366422,-6.060203273,0.025359096,1.42E-04,7.975176587,0.916227417,1.117373505,0.715542153
GTM,20.20462142,21.40887044,20.83503273,0.024425439,2.98E-19,1.115786035,0.481584456,0.737597625,0.398663525
GUY,26.609138,27.00411109,26.74916108,0.011936023,3.53E-06,0.555761226,0.364420714,0.447116475,0.282948348
HND,22.46391905,23.53685669,23.06830282,0.022011898,4.68E-17,1.363985136,0.447937903,0.71438259,0.374918289
HRV,10.69773311,12.48451326,11.38538703,0.03822999,3.21E-13,7.627958653,0.841488151,1.41079538,0.690635532
HTI,24.76034224,25.50325821,25.13040642,0.017853928,3.04E-11,1.348522536,0.41651212,0.673316185,0.354221463
HUN,9.801783715,11.60540779,10.4930093,0.03672183,7.90E-11,8.293145206,0.86910736,1.124536533,0.687707203
IDN,25.85244716,26.76769065,26.3696652,0.019321737,2.21E-20,0.38963717,0.375804935,0.686117065,0.325837036
IND,25.38439083,26.03494566,25.68787441,0.0157811,7.61E-12,4.374130927,0.361087039,0.541270775,0.29977479
IRL,8.9889492,9.655827475,9.432794545,0.016152046,8.03E-07,3.870041644,0.468905175,0.641492318,0.375709228
IRN,14.95097723,16.13073566,15.23603146,0.027944016,1.58E-08,9.338199315,0.730404753,0.9619382,0.573533806
IRQ,22.16447705,23.25557621,22.34360557,0.027975355,5.47E-07,9.346680974,0.802530034,1.04113842,0.649154637
ISL,2.713658096,3.923617539,3.125428562,0.025811723,4.02E-07,4.594256403,0.733611287,1.085472694,0.613575594
ISR,19.20113127,20.55260621,19.52787203,0.031688653,1.30E-10,5.632274551,0.755933272,1.122564255,0.636307049
ITA,12.2903942,13.7199976,12.85694125,0.031698284,1.58E-16,6.774451177,0.650767916,1.04416754,0.561370638
JAM,24.1191844,25.08527913,24.65579258,0.023668046,3.99E-17,1.141948373,0.481107732,0.823347,0.425556259
JOR,18.12515259,19.49259356,18.47867487,0.032459661,8.95E-11,6.437197048,0.769730057,1.14167779,0.64685122
JPN,13.3703756,14.47829513,13.8741863,0.026145403,2.29E-11,8.206541976,0.607469322,0.90959425,0.522267543
KAZ,5.856068427,7.026611857,6.440829952,0.028080803,3.16E-06,12.6954886,0.85392111,1.13338868,0.664217543
KEN,20.12573076,21.32811754,20.72836077,0.026913879,3.45E-17,1.010576962,0.546525547,0.79556884,0.466090651
KGZ,4.214389453,5.506261637,4.843282795,0.029649008,3.44E-09,10.3496081,0.750171479,1.014195299,0.600543029
KHM,27.38625181,28.16021998,27.72148479,0.018160027,1.90E-09,1.245301797,0.454126835,0.653049785,0.380478644
KIR,27.49166727,27.49166727,27.49166727,3.39E-16,0.088673344,0.188092417,0,0,0
KOR,11.20636848,12.26245425,11.72844442,0.024769697,2.55E-09,9.783002109,0.622994831,0.944342695,0.516044368
KWT,25.5232907,26.9632779,25.9623208,0.034232046,6.03E-12,9.169937047,0.78083084,1.06690929,0.648959752
LAO,23.8630194,24.67679824,24.20587863,0.017430472,1.28E-08,2.560461232,0.453458966,0.61766855,0.376259163
LBN,16.54412006,17.76315229,16.77687537,0.02997059,3.59E-09,6.001319637,0.758939682,1.16425383,0.631128902
LBR,25.24763099,25.86009178,25.48999436,0.014952702,5.24E-12,0.913415516,0.340441725,0.49263775,0.271518961
LBY,20.22018008,21.3832454,20.6929942,0.027760325,2.16E-17,5.986756622,0.561919879,0.954099995,0.482488222
LKA,26.02784095,26.94138119,26.44943334,0.018766517,2.29E-18,0.929443732,0.374418056,0.546354835,0.312328921
LSO,12.42674195,13.48669277,12.80752093,0.02135733,7.47E-10,4.352725509,0.524857782,0.77826378,0.422848828
