Region,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099
ABW,0.05064,0.05064,0.05064,0.05064,0.05064,0.058230000000000004,0.058230000000000004,0.058230000000000004,0.058230000000000004,0.058230000000000004,0.05882,0.05882,0.05882,0.05882,0.05882,0.059509999999999993,0.059509999999999993,0.059509999999999993,0.059509999999999993,0.059509999999999993,0.055229999999999994,0.055229999999999994,0.055229999999999994,0.055229999999999994,0.055229999999999994,0.052169999999999994,0.052169999999999994,0.052169999999999994,0.052169999999999994,0.052169999999999994,0.048920000000000005,0.048920000000000005,0.048920000000000005,0.048920000000000005,0.048920000000000005,0.04582,0.04582,0.04582,0.04582,0.04582,0.042640000000000004,0.042640000000000004,0.042640000000000004,0.042640000000000004,0.042640000000000004,0.03991,0.03991,0.03991,0.03991,0.03991,0.037469999999999996,0.037469999999999996,0.037469999999999996,0.037469999999999996,0.037469999999999996,0.03394,0.03394,0.03394,0.03394,0.03394,0.03218,0.03218,0.03218,0.03218,0.03218,0.02992,0.02992,0.02992,0.02992,0.02992,0.028300000000000002,0.028300000000000002,0.028300000000000002,0.028300000000000002,0.028300000000000002,0.02688,0.02688,0.02688,0.02688,0.02688
AFG,0.03716,0.03716,0.03716,0.03716,0.03716,0.05059,0.05059,0.05059,0.05059,0.05059,0.05851,0.05851,0.05851,0.05851,0.05851,0.06208,0.06208,0.06208,0.06208,0.06208,0.06266,0.06266,0.06266,0.06266,0.06266,0.06117,0.06117,0.06117,0.06117,0.06117,0.05811,0.05811,0.05811,0.05811,0.05811,0.054290000000000005,0.054290000000000005,0.054290000000000005,0.054290000000000005,0.054290000000000005,0.050019999999999995,0.050019999999999995,0.050019999999999995,0.050019999999999995,0.050019999999999995,0.04578,0.04578,0.04578,0.04578,0.04578,0.04188,0.04188,0.04188,0.04188,0.04188,0.03833,0.03833,0.03833,0.03833,0.03833,0.03504,0.03504,0.03504,0.03504,0.03504,0.03214,0.03214,0.03214,0.03214,0.03214,0.029689999999999998,0.029689999999999998,0.029689999999999998,0.029689999999999998,0.029689999999999998,0.02742,0.02742,0.02742,0.02742,0.02742
AGO,0.01252,0.01252,0.01252,0.01252,0.01252,0.00891,0.00891,0.00891,0.00891,0.00891,0.00809,0.00809,0.00809,0.00809,0.00809,0.01695,0.01695,0.01695,0.01695,0.01695,0.02833,0.02833,0.02833,0.02833,0.02833,0.03709,0.03709,0.03709,0.03709,0.03709,0.04131,0.04131,0.04131,0.04131,0.04131,0.042480000000000004,0.042480000000000004,0.042480000000000004,0.042480000000000004,0.042480000000000004,0.04146,0.04146,0.04146,0.04146,0.04146,0.03903,0.03903,0.03903,0.03903,0.03903,0.03613,0.03613,0.03613,0.03613,0.03613,0.033170000000000005,0.033170000000000005,0.033170000000000005,0.033170000000000005,0.033170000000000005,0.030270000000000002,0.030270000000000002,0.030270000000000002,0.030270000000000002,0.030270000000000002,0.02773,0.02773,0.02773,0.02773,0.02773,0.02545,0.02545,0.02545,0.02545,0.02545,0.023239999999999997,0.023239999999999997,0.023239999999999997,0.023239999999999997,0.023239999999999997
ALB,0.02903,0.02903,0.02903,0.02903,0.02903,0.03274,0.03274,0.03274,0.03274,0.03274,0.03379,0.03379,0.03379,0.03379,0.03379,0.03212,0.03212,0.03212,0.03212,0.03212,0.02936,0.02936,0.02936,0.02936,0.02936,0.02553,0.02553,0.02553,0.02553,0.02553,0.02284,0.02284,0.02284,0.02284,0.02284,0.02097,0.02097,0.02097,0.02097,0.02097,0.01908,0.01908,0.01908,0.01908,0.01908,0.01678,0.01678,0.01678,0.01678,0.01678,0.015569999999999999,0.015569999999999999,0.015569999999999999,0.015569999999999999,0.015569999999999999,0.0152,0.0152,0.0152,0.0152,0.0152,0.01494,0.01494,0.01494,0.01494,0.01494,0.0149,0.0149,0.0149,0.0149,0.0149,0.01472,0.01472,0.01472,0.01472,0.01472,0.01512,0.01512,0.01512,0.01512,0.01512
ARE,0.02005,0.02005,0.02005,0.02005,0.02005,0.022019999999999998,0.022019999999999998,0.022019999999999998,0.022019999999999998,0.022019999999999998,0.01908,0.01908,0.01908,0.01908,0.01908,0.01583,0.01583,0.01583,0.01583,0.01583,0.01203,0.01203,0.01203,0.01203,0.01203,0.00866,0.00866,0.00866,0.00866,0.00866,0.00809,0.00809,0.00809,0.00809,0.00809,0.00946,0.00946,0.00946,0.00946,0.00946,0.00957,0.00957,0.00957,0.00957,0.00957,0.00933,0.00933,0.00933,0.00933,0.00933,0.008409999999999999,0.008409999999999999,0.008409999999999999,0.008409999999999999,0.008409999999999999,0.00823,0.00823,0.00823,0.00823,0.00823,0.00792,0.00792,0.00792,0.00792,0.00792,0.00787,0.00787,0.00787,0.00787,0.00787,0.00799,0.00799,0.00799,0.00799,0.00799,0.00818,0.00818,0.00818,0.00818,0.00818
ARG,0.030670000000000003,0.030670000000000003,0.030670000000000003,0.030670000000000003,0.030670000000000003,0.02811,0.02811,0.02811,0.02811,0.02811,0.02723,0.02723,0.02723,0.02723,0.02723,0.025315000000000004,0.025315000000000004,0.025315000000000004,0.025315000000000004,0.025315000000000004,0.022609999999999998,0.022609999999999998,0.022609999999999998,0.022609999999999998,0.022609999999999998,0.01983,0.01983,0.01983,0.01983,0.01983,0.01802,0.01802,0.01802,0.01802,0.01802,0.016965,0.016965,0.016965,0.016965,0.016965,0.016149999999999998,0.016149999999999998,0.016149999999999998,0.016149999999999998,0.016149999999999998,0.01534,0.01534,0.01534,0.01534,0.01534,0.014375,0.014375,0.014375,0.014375,0.014375,0.013795000000000002,0.013795000000000002,0.013795000000000002,0.013795000000000002,0.013795000000000002,0.0136,0.0136,0.0136,0.0136,0.0136,0.013315,0.013315,0.013315,0.013315,0.013315,0.012945,0.012945,0.012945,0.012945,0.012945,0.01246,0.01246,0.01246,0.01246,0.01246
ARM,0.060189999999999994,0.060189999999999994,0.060189999999999994,0.060189999999999994,0.060189999999999994,0.047869999999999996,0.047869999999999996,0.047869999999999996,0.047869999999999996,0.047869999999999996,0.036655,0.036655,0.036655,0.036655,0.036655,0.02772,0.02772,0.02772,0.02772,0.02772,0.021929999999999998,0.021929999999999998,0.021929999999999998,0.021929999999999998,0.021929999999999998,0.01855,0.01855,0.01855,0.01855,0.01855,0.017105000000000002,0.017105000000000002,0.017105000000000002,0.017105000000000002,0.017105000000000002,0.01722,0.01722,0.01722,0.01722,0.01722,0.01753,0.01753,0.01753,0.01753,0.01753,0.016595,0.016595,0.016595,0.016595,0.016595,0.01572,0.01572,0.01572,0.01572,0.01572,0.015845,0.015845,0.015845,0.015845,0.015845,0.015595,0.015595,0.015595,0.015595,0.015595,0.015135,0.015135,0.015135,0.015135,0.015135,0.01487,0.01487,0.01487,0.01487,0.01487,0.014355,0.014355,0.014355,0.014355,0.014355
AUS,0.02019,0.02019,0.02019,0.02019,0.02019,0.018305,0.018305,0.018305,0.018305,0.018305,0.01672,0.01672,0.01672,0.01672,0.01672,0.01475,0.01475,0.01475,0.01475,0.01475,0.013115,0.013115,0.013115,0.013115,0.013115,0.0112,0.0112,0.0112,0.0112,0.0112,0.01021,0.01021,0.01021,0.01021,0.01021,0.010175,0.010175,0.010175,0.010175,0.010175,0.010450000000000001,0.010450000000000001,0.010450000000000001,0.010450000000000001,0.010450000000000001,0.01038,0.01038,0.01038,0.01038,0.01038,0.009855,0.009855,0.009855,0.009855,0.009855,0.009759999999999998,0.009759999999999998,0.009759999999999998,0.009759999999999998,0.009759999999999998,0.00974,0.00974,0.00974,0.00974,0.00974,0.009745,0.009745,0.009745,0.009745,0.009745,0.00981,0.00981,0.00981,0.00981,0.00981,0.00989,0.00989,0.00989,0.00989,0.00989
AUT,0.009105,0.009105,0.009105,0.009105,0.009105,0.01054,0.01054,0.01054,0.01054,0.01054,0.01193,0.01193,0.01193,0.01193,0.01193,0.012705,0.012705,0.012705,0.012705,0.012705,0.012545,0.012545,0.012545,0.012545,0.012545,0.011709999999999998,0.011709999999999998,0.011709999999999998,0.011709999999999998,0.011709999999999998,0.011345000000000001,0.011345000000000001,0.011345000000000001,0.011345000000000001,0.011345000000000001,0.01132,0.01132,0.01132,0.01132,0.01132,0.01167,0.01167,0.01167,0.01167,0.01167,0.01175,0.01175,0.01175,0.01175,0.01175,0.011529999999999999,0.011529999999999999,0.011529999999999999,0.011529999999999999,0.011529999999999999,0.011395,0.011395,0.011395,0.011395,0.011395,0.01168,0.01168,0.01168,0.01168,0.01168,0.011765,0.011765,0.011765,0.011765,0.011765,0.011814999999999999,0.011814999999999999,0.011814999999999999,0.011814999999999999,0.011814999999999999,0.0119,0.0119,0.0119,0.0119,0.0119
AZE,0.018755,0.018755,0.018755,0.018755,0.018755,0.013235,0.013235,0.013235,0.013235,0.013235,0.008855,0.008855,0.008855,0.008855,0.008855,0.012545,0.012545,0.012545,0.012545,0.012545,0.015385,0.015385,0.015385,0.015385,0.015385,0.016315,0.016315,0.016315,0.016315,0.016315,0.01633,0.01633,0.01633,0.01633,0.01633,0.017820000000000003,0.017820000000000003,0.017820000000000003,0.017820000000000003,0.017820000000000003,0.01838,0.01838,0.01838,0.01838,0.01838,0.016980000000000002,0.016980000000000002,0.016980000000000002,0.016980000000000002,0.016980000000000002,0.014275000000000001,0.014275000000000001,0.014275000000000001,0.014275000000000001,0.014275000000000001,0.013345,0.013345,0.013345,0.013345,0.013345,0.013624999999999998,0.013624999999999998,0.013624999999999998,0.013624999999999998,0.013624999999999998,0.014535,0.014535,0.014535,0.014535,0.014535,0.015005000000000001,0.015005000000000001,0.015005000000000001,0.015005000000000001,0.015005000000000001,0.01483,0.01483,0.01483,0.01483,0.01483
