Region,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099
BDI,0.02776,0.02776,0.02776,0.02776,0.02776,0.023305,0.023305,0.023305,0.023305,0.023305,0.01746,0.01746,0.01746,0.01746,0.01746,0.01505,0.01505,0.01505,0.01505,0.01505,0.013175,0.013175,0.013175,0.013175,0.013175,0.013125,0.013125,0.013125,0.013125,0.013125,0.014790000000000001,0.014790000000000001,0.014790000000000001,0.014790000000000001,0.014790000000000001,0.01681,0.01681,0.01681,0.01681,0.01681,0.017985,0.017985,0.017985,0.017985,0.017985,0.01799,0.01799,0.01799,0.01799,0.01799,0.016985,0.016985,0.016985,0.016985,0.016985,0.016030000000000003,0.016030000000000003,0.016030000000000003,0.016030000000000003,0.016030000000000003,0.015465,0.015465,0.015465,0.015465,0.015465,0.01532,0.01532,0.01532,0.01532,0.01532,0.015205000000000002,0.015205000000000002,0.015205000000000002,0.015205000000000002,0.015205000000000002,0.01491,0.01491,0.01491,0.01491,0.01491
BEL,0.0072050000000000005,0.0072050000000000005,0.0072050000000000005,0.0072050000000000005,0.0072050000000000005,0.0091,0.0091,0.0091,0.0091,0.0091,0.01016,0.01016,0.01016,0.01016,0.01016,0.010530000000000001,0.010530000000000001,0.010530000000000001,0.010530000000000001,0.010530000000000001,0.010185,0.010185,0.010185,0.010185,0.010185,0.00972,0.00972,0.00972,0.00972,0.00972,0.009625,0.009625,0.009625,0.009625,0.009625,0.009725000000000001,0.009725000000000001,0.009725000000000001,0.009725000000000001,0.009725000000000001,0.009659999999999998,0.009659999999999998,0.009659999999999998,0.009659999999999998,0.009659999999999998,0.00911,0.00911,0.00911,0.00911,0.00911,0.008585,0.008585,0.008585,0.008585,0.008585,0.008395,0.008395,0.008395,0.008395,0.008395,0.008365000000000001,0.008365000000000001,0.008365000000000001,0.008365000000000001,0.008365000000000001,0.00856,0.00856,0.00856,0.00856,0.00856,0.008765,0.008765,0.008765,0.008765,0.008765,0.00877,0.00877,0.00877,0.00877,0.00877
BEN,0.01702,0.01702,0.01702,0.01702,0.01702,0.01533,0.01533,0.01533,0.01533,0.01533,0.013585,0.013585,0.013585,0.013585,0.013585,0.01396,0.01396,0.01396,0.01396,0.01396,0.014454999999999999,0.014454999999999999,0.014454999999999999,0.014454999999999999,0.014454999999999999,0.014785000000000001,0.014785000000000001,0.014785000000000001,0.014785000000000001,0.014785000000000001,0.014815,0.014815,0.014815,0.014815,0.014815,0.014735,0.014735,0.014735,0.014735,0.014735,0.014509999999999999,0.014509999999999999,0.014509999999999999,0.014509999999999999,0.014509999999999999,0.01432,0.01432,0.01432,0.01432,0.01432,0.013965000000000002,0.013965000000000002,0.013965000000000002,0.013965000000000002,0.013965000000000002,0.01362,0.01362,0.01362,0.01362,0.01362,0.013574999999999999,0.013574999999999999,0.013574999999999999,0.013574999999999999,0.013574999999999999,0.013320000000000002,0.013320000000000002,0.013320000000000002,0.013320000000000002,0.013320000000000002,0.01328,0.01328,0.01328,0.01328,0.01328,0.013215000000000001,0.013215000000000001,0.013215000000000001,0.013215000000000001,0.013215000000000001
BFA,0.004030000000000001,0.004030000000000001,0.004030000000000001,0.004030000000000001,0.004030000000000001,0.006284999999999999,0.006284999999999999,0.006284999999999999,0.006284999999999999,0.006284999999999999,0.008535,0.008535,0.008535,0.008535,0.008535,0.014790000000000001,0.014790000000000001,0.014790000000000001,0.014790000000000001,0.014790000000000001,0.0172,0.0172,0.0172,0.0172,0.0172,0.017439999999999997,0.017439999999999997,0.017439999999999997,0.017439999999999997,0.017439999999999997,0.016649999999999998,0.016649999999999998,0.016649999999999998,0.016649999999999998,0.016649999999999998,0.016165,0.016165,0.016165,0.016165,0.016165,0.015615,0.015615,0.015615,0.015615,0.015615,0.015065,0.015065,0.015065,0.015065,0.015065,0.014465,0.014465,0.014465,0.014465,0.014465,0.013659999999999999,0.013659999999999999,0.013659999999999999,0.013659999999999999,0.013659999999999999,0.01294,0.01294,0.01294,0.01294,0.01294,0.012415,0.012415,0.012415,0.012415,0.012415,0.01192,0.01192,0.01192,0.01192,0.01192,0.011735,0.011735,0.011735,0.011735,0.011735
BGD,0.026905000000000002,0.026905000000000002,0.026905000000000002,0.026905000000000002,0.026905000000000002,0.018935,0.018935,0.018935,0.018935,0.018935,0.013915,0.013915,0.013915,0.013915,0.013915,0.01316,0.01316,0.01316,0.01316,0.01316,0.011890000000000001,0.011890000000000001,0.011890000000000001,0.011890000000000001,0.011890000000000001,0.01081,0.01081,0.01081,0.01081,0.01081,0.010655,0.010655,0.010655,0.010655,0.010655,0.01106,0.01106,0.01106,0.01106,0.01106,0.011210000000000001,0.011210000000000001,0.011210000000000001,0.011210000000000001,0.011210000000000001,0.011285,0.011285,0.011285,0.011285,0.011285,0.01157,0.01157,0.01157,0.01157,0.01157,0.011205,0.011205,0.011205,0.011205,0.011205,0.0107,0.0107,0.0107,0.0107,0.0107,0.01031,0.01031,0.01031,0.01031,0.01031,0.010145,0.010145,0.010145,0.010145,0.010145,0.010165,0.010165,0.010165,0.010165,0.010165
BGR,0.02818,0.02818,0.02818,0.02818,0.02818,0.019545,0.019545,0.019545,0.019545,0.019545,0.013575,0.013575,0.013575,0.013575,0.013575,0.0103,0.0103,0.0103,0.0103,0.0103,0.008065000000000001,0.008065000000000001,0.008065000000000001,0.008065000000000001,0.008065000000000001,0.00693,0.00693,0.00693,0.00693,0.00693,0.007045,0.007045,0.007045,0.007045,0.007045,0.007925,0.007925,0.007925,0.007925,0.007925,0.008465,0.008465,0.008465,0.008465,0.008465,0.007944999999999999,0.007944999999999999,0.007944999999999999,0.007944999999999999,0.007944999999999999,0.007115,0.007115,0.007115,0.007115,0.007115,0.006574999999999999,0.006574999999999999,0.006574999999999999,0.006574999999999999,0.006574999999999999,0.006265,0.006265,0.006265,0.006265,0.006265,0.00628,0.00628,0.00628,0.00628,0.00628,0.0063300000000000006,0.0063300000000000006,0.0063300000000000006,0.0063300000000000006,0.0063300000000000006,0.0063300000000000006,0.0063300000000000006,0.0063300000000000006,0.0063300000000000006,0.0063300000000000006
BHR,0.019395,0.019395,0.019395,0.019395,0.019395,0.013135,0.013135,0.013135,0.013135,0.013135,0.00902,0.00902,0.00902,0.00902,0.00902,0.00753,0.00753,0.00753,0.00753,0.00753,0.006125,0.006125,0.006125,0.006125,0.006125,0.005695,0.005695,0.005695,0.005695,0.005695,0.00691,0.00691,0.00691,0.00691,0.00691,0.00798,0.00798,0.00798,0.00798,0.00798,0.00785,0.00785,0.00785,0.00785,0.00785,0.0071200000000000005,0.0071200000000000005,0.0071200000000000005,0.0071200000000000005,0.0071200000000000005,0.00614,0.00614,0.00614,0.00614,0.00614,0.0053950000000000005,0.0053950000000000005,0.0053950000000000005,0.0053950000000000005,0.0053950000000000005,0.0051400000000000005,0.0051400000000000005,0.0051400000000000005,0.0051400000000000005,0.0051400000000000005,0.005235,0.005235,0.005235,0.005235,0.005235,0.005285,0.005285,0.005285,0.005285,0.005285,0.00513,0.00513,0.00513,0.00513,0.00513
BHS,0.005295,0.005295,0.005295,0.005295,0.005295,0.00643,0.00643,0.00643,0.00643,0.00643,0.00753,0.00753,0.00753,0.00753,0.00753,0.008285,0.008285,0.008285,0.008285,0.008285,0.00821,0.00821,0.00821,0.00821,0.00821,0.007219999999999999,0.007219999999999999,0.007219999999999999,0.007219999999999999,0.007219999999999999,0.006784999999999999,0.006784999999999999,0.006784999999999999,0.006784999999999999,0.006784999999999999,0.006425,0.006425,0.006425,0.006425,0.006425,0.006874999999999999,0.006874999999999999,0.006874999999999999,0.006874999999999999,0.006874999999999999,0.00746,0.00746,0.00746,0.00746,0.00746,0.00732,0.00732,0.00732,0.00732,0.00732,0.00738,0.00738,0.00738,0.00738,0.00738,0.00676,0.00676,0.00676,0.00676,0.00676,0.00663,0.00663,0.00663,0.00663,0.00663,0.0065049999999999995,0.0065049999999999995,0.0065049999999999995,0.0065049999999999995,0.0065049999999999995,0.007075,0.007075,0.007075,0.007075,0.007075
BIH,0.040745,0.040745,0.040745,0.040745,0.040745,0.030125,0.030125,0.030125,0.030125,0.030125,0.023310000000000004,0.023310000000000004,0.023310000000000004,0.023310000000000004,0.023310000000000004,0.01916,0.01916,0.01916,0.01916,0.01916,0.0158,0.0158,0.0158,0.0158,0.0158,0.01295,0.01295,0.01295,0.01295,0.01295,0.011314999999999999,0.011314999999999999,0.011314999999999999,0.011314999999999999,0.011314999999999999,0.010994999999999998,0.010994999999999998,0.010994999999999998,0.010994999999999998,0.010994999999999998,0.010145,0.010145,0.010145,0.010145,0.010145,0.010100000000000001,0.010100000000000001,0.010100000000000001,0.010100000000000001,0.010100000000000001,0.009819999999999999,0.009819999999999999,0.009819999999999999,0.009819999999999999,0.009819999999999999,0.00901,0.00901,0.00901,0.00901,0.00901,0.00835,0.00835,0.00835,0.00835,0.00835,0.00807,0.00807,0.00807,0.00807,0.00807,0.008055,0.008055,0.008055,0.008055,0.008055,0.008275,0.008275,0.008275,0.008275,0.008275
BLR,0.024820000000000002,0.024820000000000002,0.024820000000000002,0.024820000000000002,0.024820000000000002,0.01619,0.01619,0.01619,0.01619,0.01619,0.012175,0.012175,0.012175,0.012175,0.012175,0.01038,0.01038,0.01038,0.01038,0.01038,0.008865000000000001,0.008865000000000001,0.008865000000000001,0.008865000000000001,0.008865000000000001,0.007715,0.007715,0.007715,0.007715,0.007715,0.00798,0.00798,0.00798,0.00798,0.00798,0.009420000000000001,0.009420000000000001,0.009420000000000001,0.009420000000000001,0.009420000000000001,0.01046,0.01046,0.01046,0.01046,0.01046,0.010339999999999998,0.010339999999999998,0.010339999999999998,0.010339999999999998,0.010339999999999998,0.00958,0.00958,0.00958,0.00958,0.00958,0.00891,0.00891,0.00891,0.00891,0.00891,0.00872,0.00872,0.00872,0.00872,0.00872,0.008885,0.008885,0.008885,0.008885,0.008885,0.009125000000000001,0.009125000000000001,0.009125000000000001,0.009125000000000001,0.009125000000000001,0.00915,0.00915,0.00915,0.00915,0.00915
