Region,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099
ABW,0.058949999999999995,0.058949999999999995,0.058949999999999995,0.058949999999999995,0.058949999999999995,0.07237,0.07237,0.07237,0.07237,0.07237,0.07452,0.07452,0.07452,0.07452,0.07452,0.06865,0.06865,0.06865,0.06865,0.06865,0.06475,0.06475,0.06475,0.06475,0.06475,0.05985,0.05985,0.05985,0.05985,0.05985,0.0552,0.0552,0.0552,0.0552,0.0552,0.05229,0.05229,0.05229,0.05229,0.05229,0.04713,0.04713,0.04713,0.04713,0.04713,0.04484,0.04484,0.04484,0.04484,0.04484,0.041769999999999995,0.041769999999999995,0.041769999999999995,0.041769999999999995,0.041769999999999995,0.04046,0.04046,0.04046,0.04046,0.04046,0.03685,0.03685,0.03685,0.03685,0.03685,0.03553,0.03553,0.03553,0.03553,0.03553,0.033479999999999996,0.033479999999999996,0.033479999999999996,0.033479999999999996,0.033479999999999996,0.03164,0.03164,0.03164,0.03164,0.03164
AFG,0.04128999999999999,0.04128999999999999,0.04128999999999999,0.04128999999999999,0.04128999999999999,0.05971,0.05971,0.05971,0.05971,0.05971,0.06984,0.06984,0.06984,0.06984,0.06984,0.07214000000000001,0.07214000000000001,0.07214000000000001,0.07214000000000001,0.07214000000000001,0.07131,0.07131,0.07131,0.07131,0.07131,0.06863999999999999,0.06863999999999999,0.06863999999999999,0.06863999999999999,0.06863999999999999,0.06471,0.06471,0.06471,0.06471,0.06471,0.060289999999999996,0.060289999999999996,0.060289999999999996,0.060289999999999996,0.060289999999999996,0.0556,0.0556,0.0556,0.0556,0.0556,0.051070000000000004,0.051070000000000004,0.051070000000000004,0.051070000000000004,0.051070000000000004,0.047060000000000005,0.047060000000000005,0.047060000000000005,0.047060000000000005,0.047060000000000005,0.04364,0.04364,0.04364,0.04364,0.04364,0.04045,0.04045,0.04045,0.04045,0.04045,0.03766,0.03766,0.03766,0.03766,0.03766,0.03532,0.03532,0.03532,0.03532,0.03532,0.03315,0.03315,0.03315,0.03315,0.03315
AGO,0.02129,0.02129,0.02129,0.02129,0.02129,0.0236,0.0236,0.0236,0.0236,0.0236,0.02504,0.02504,0.02504,0.02504,0.02504,0.02986,0.02986,0.02986,0.02986,0.02986,0.03723,0.03723,0.03723,0.03723,0.03723,0.04398,0.04398,0.04398,0.04398,0.04398,0.04723,0.04723,0.04723,0.04723,0.04723,0.0478,0.0478,0.0478,0.0478,0.0478,0.04632,0.04632,0.04632,0.04632,0.04632,0.04354,0.04354,0.04354,0.04354,0.04354,0.04047,0.04047,0.04047,0.04047,0.04047,0.03743,0.03743,0.03743,0.03743,0.03743,0.03459,0.03459,0.03459,0.03459,0.03459,0.03216,0.03216,0.03216,0.03216,0.03216,0.03003,0.03003,0.03003,0.03003,0.03003,0.027970000000000002,0.027970000000000002,0.027970000000000002,0.027970000000000002,0.027970000000000002
ALB,0.033690000000000005,0.033690000000000005,0.033690000000000005,0.033690000000000005,0.033690000000000005,0.04085,0.04085,0.04085,0.04085,0.04085,0.042910000000000004,0.042910000000000004,0.042910000000000004,0.042910000000000004,0.042910000000000004,0.03971,0.03971,0.03971,0.03971,0.03971,0.035840000000000004,0.035840000000000004,0.035840000000000004,0.035840000000000004,0.035840000000000004,0.0315,0.0315,0.0315,0.0315,0.0315,0.02881,0.02881,0.02881,0.02881,0.02881,0.02696,0.02696,0.02696,0.02696,0.02696,0.02522,0.02522,0.02522,0.02522,0.02522,0.02257,0.02257,0.02257,0.02257,0.02257,0.02097,0.02097,0.02097,0.02097,0.02097,0.020390000000000002,0.020390000000000002,0.020390000000000002,0.020390000000000002,0.020390000000000002,0.02032,0.02032,0.02032,0.02032,0.02032,0.020390000000000002,0.020390000000000002,0.020390000000000002,0.020390000000000002,0.020390000000000002,0.020579999999999998,0.020579999999999998,0.020579999999999998,0.020579999999999998,0.020579999999999998,0.02096,0.02096,0.02096,0.02096,0.02096
ARE,0.02339,0.02339,0.02339,0.02339,0.02339,0.02931,0.02931,0.02931,0.02931,0.02931,0.028999999999999998,0.028999999999999998,0.028999999999999998,0.028999999999999998,0.028999999999999998,0.025539999999999997,0.025539999999999997,0.025539999999999997,0.025539999999999997,0.025539999999999997,0.02108,0.02108,0.02108,0.02108,0.02108,0.01671,0.01671,0.01671,0.01671,0.01671,0.01472,0.01472,0.01472,0.01472,0.01472,0.01466,0.01466,0.01466,0.01466,0.01466,0.01426,0.01426,0.01426,0.01426,0.01426,0.01381,0.01381,0.01381,0.01381,0.01381,0.0129,0.0129,0.0129,0.0129,0.0129,0.01295,0.01295,0.01295,0.01295,0.01295,0.01309,0.01309,0.01309,0.01309,0.01309,0.013269999999999999,0.013269999999999999,0.013269999999999999,0.013269999999999999,0.013269999999999999,0.01365,0.01365,0.01365,0.01365,0.01365,0.014039999999999999,0.014039999999999999,0.014039999999999999,0.014039999999999999,0.014039999999999999
ARG,0.034045000000000006,0.034045000000000006,0.034045000000000006,0.034045000000000006,0.034045000000000006,0.033925000000000004,0.033925000000000004,0.033925000000000004,0.033925000000000004,0.033925000000000004,0.033835,0.033835,0.033835,0.033835,0.033835,0.031209999999999998,0.031209999999999998,0.031209999999999998,0.031209999999999998,0.031209999999999998,0.02812,0.02812,0.02812,0.02812,0.02812,0.025814999999999998,0.025814999999999998,0.025814999999999998,0.025814999999999998,0.025814999999999998,0.024465,0.024465,0.024465,0.024465,0.024465,0.023629999999999998,0.023629999999999998,0.023629999999999998,0.023629999999999998,0.023629999999999998,0.02276,0.02276,0.02276,0.02276,0.02276,0.021789999999999997,0.021789999999999997,0.021789999999999997,0.021789999999999997,0.021789999999999997,0.020685000000000002,0.020685000000000002,0.020685000000000002,0.020685000000000002,0.020685000000000002,0.02,0.02,0.02,0.02,0.02,0.019705,0.019705,0.019705,0.019705,0.019705,0.019345,0.019345,0.019345,0.019345,0.019345,0.018910000000000003,0.018910000000000003,0.018910000000000003,0.018910000000000003,0.018910000000000003,0.018340000000000002,0.018340000000000002,0.018340000000000002,0.018340000000000002,0.018340000000000002
ARM,0.06504499999999999,0.06504499999999999,0.06504499999999999,0.06504499999999999,0.06504499999999999,0.054675,0.054675,0.054675,0.054675,0.054675,0.043899999999999995,0.043899999999999995,0.043899999999999995,0.043899999999999995,0.043899999999999995,0.033749999999999995,0.033749999999999995,0.033749999999999995,0.033749999999999995,0.033749999999999995,0.02785,0.02785,0.02785,0.02785,0.02785,0.024544999999999997,0.024544999999999997,0.024544999999999997,0.024544999999999997,0.024544999999999997,0.02332,0.02332,0.02332,0.02332,0.02332,0.023399999999999997,0.023399999999999997,0.023399999999999997,0.023399999999999997,0.023399999999999997,0.023585,0.023585,0.023585,0.023585,0.023585,0.022515,0.022515,0.022515,0.022515,0.022515,0.021500000000000002,0.021500000000000002,0.021500000000000002,0.021500000000000002,0.021500000000000002,0.02151,0.02151,0.02151,0.02151,0.02151,0.021145,0.021145,0.021145,0.021145,0.021145,0.020705,0.020705,0.020705,0.020705,0.020705,0.0206,0.0206,0.0206,0.0206,0.0206,0.020159999999999997,0.020159999999999997,0.020159999999999997,0.020159999999999997,0.020159999999999997
AUS,0.02179,0.02179,0.02179,0.02179,0.02179,0.02223,0.02223,0.02223,0.02223,0.02223,0.021835,0.021835,0.021835,0.021835,0.021835,0.01985,0.01985,0.01985,0.01985,0.01985,0.017945000000000003,0.017945000000000003,0.017945000000000003,0.017945000000000003,0.017945000000000003,0.015765,0.015765,0.015765,0.015765,0.015765,0.014705000000000001,0.014705000000000001,0.014705000000000001,0.014705000000000001,0.014705000000000001,0.014689999999999998,0.014689999999999998,0.014689999999999998,0.014689999999999998,0.014689999999999998,0.015184999999999999,0.015184999999999999,0.015184999999999999,0.015184999999999999,0.015184999999999999,0.015295,0.015295,0.015295,0.015295,0.015295,0.014875000000000001,0.014875000000000001,0.014875000000000001,0.014875000000000001,0.014875000000000001,0.014575000000000001,0.014575000000000001,0.014575000000000001,0.014575000000000001,0.014575000000000001,0.014454999999999999,0.014454999999999999,0.014454999999999999,0.014454999999999999,0.014454999999999999,0.014419999999999999,0.014419999999999999,0.014419999999999999,0.014419999999999999,0.014419999999999999,0.014459999999999999,0.014459999999999999,0.014459999999999999,0.014459999999999999,0.014459999999999999,0.014555000000000002,0.014555000000000002,0.014555000000000002,0.014555000000000002,0.014555000000000002
AUT,0.01133,0.01133,0.01133,0.01133,0.01133,0.014499999999999999,0.014499999999999999,0.014499999999999999,0.014499999999999999,0.014499999999999999,0.016954999999999998,0.016954999999999998,0.016954999999999998,0.016954999999999998,0.016954999999999998,0.017939999999999998,0.017939999999999998,0.017939999999999998,0.017939999999999998,0.017939999999999998,0.017920000000000002,0.017920000000000002,0.017920000000000002,0.017920000000000002,0.017920000000000002,0.01715,0.01715,0.01715,0.01715,0.01715,0.01686,0.01686,0.01686,0.01686,0.01686,0.01693,0.01693,0.01693,0.01693,0.01693,0.017515000000000003,0.017515000000000003,0.017515000000000003,0.017515000000000003,0.017515000000000003,0.01777,0.01777,0.01777,0.01777,0.01777,0.017595,0.017595,0.017595,0.017595,0.017595,0.01724,0.01724,0.01724,0.01724,0.01724,0.017235,0.017235,0.017235,0.017235,0.017235,0.017134999999999997,0.017134999999999997,0.017134999999999997,0.017134999999999997,0.017134999999999997,0.017095,0.017095,0.017095,0.017095,0.017095,0.0172,0.0172,0.0172,0.0172,0.0172
AZE,0.022215000000000002,0.022215000000000002,0.022215000000000002,0.022215000000000002,0.022215000000000002,0.019035,0.019035,0.019035,0.019035,0.019035,0.015860000000000003,0.015860000000000003,0.015860000000000003,0.015860000000000003,0.015860000000000003,0.018755,0.018755,0.018755,0.018755,0.018755,0.021485,0.021485,0.021485,0.021485,0.021485,0.022945,0.022945,0.022945,0.022945,0.022945,0.02292,0.02292,0.02292,0.02292,0.02292,0.02422,0.02422,0.02422,0.02422,0.02422,0.024475,0.024475,0.024475,0.024475,0.024475,0.022945,0.022945,0.022945,0.022945,0.022945,0.02034,0.02034,0.02034,0.02034,0.02034,0.0195,0.0195,0.0195,0.0195,0.0195,0.019935,0.019935,0.019935,0.019935,0.019935,0.02094,0.02094,0.02094,0.02094,0.02094,0.021515,0.021515,0.021515,0.021515,0.021515,0.02146,0.02146,0.02146,0.02146,0.02146
