ISO_C3,start,end,avg,trend_annual,Pvalue
AFG,11.04796055,18.16563985,14.37665025,0.090761698,2.06E-81
AGO,23.55152788,28.5279312,25.75309995,0.065011744,7.48E-74
ALA,7.65114051,15.84035526,11.64363141,0.108241552,3.23E-70
ALB,14.29335121,20.37778238,17.18298944,0.080754402,5.04E-79
ARE,29.13046034,34.87042892,31.77866917,0.07424912,1.55E-81
ARG,18.78018925,22.73751765,20.65654005,0.052759814,9.33E-66
AUS,17.74067452,22.06252818,19.67745555,0.057236474,1.53E-75
AUT,8.724759093,14.33373939,11.4325852,0.075733359,3.44E-75
AZE,13.17929036,19.47253646,16.1786472,0.083612739,2.29E-77
BEL,11.26792757,16.12638363,13.55438275,0.064921522,4.40E-71
BEN,27.39693936,32.28569028,29.53898133,0.064393487,1.63E-71
BFA,28.72825728,34.28499074,31.12797259,0.072680751,2.84E-65
BGD,25.26446751,30.43392233,27.63788753,0.068093503,8.73E-79
BGR,12.69766352,18.94249426,15.71254434,0.083459892,1.03E-75
BHS,26.69297594,29.17408665,27.99506502,0.032981865,1.35E-47
BIH,11.83619313,17.85838436,14.71583151,0.08044525,2.47E-75
BLR,7.463160228,13.29813139,10.46294013,0.080010979,1.47E-68
BLZ,26.6236218,31.44963529,28.85483142,0.063706216,1.08E-75
BOL,16.53908053,22.32514682,19.19703735,0.076518302,4.55E-78
BRA,23.12044373,27.83062927,25.30061472,0.062066758,2.11E-78
BRN,25.71370392,30.69672663,27.91671674,0.065888411,1.06E-70
BWA,22.12727134,28.36422737,24.92544104,0.081842526,5.51E-69
CAF,25.64773352,30.4656851,27.73569086,0.06256944,5.12E-71
CAN,6.621420059,13.1413105,9.830037528,0.08687904,5.40E-87
CHE,7.64712294,13.0932659,10.21903418,0.072935715,1.14E-73
CHL,12.96119925,17.27408272,14.97737579,0.057887624,6.62E-75
CHN,13.28618583,19.17747331,16.02756772,0.076792941,5.52E-85
CIV,26.27223116,30.96095173,28.38165205,0.061803862,3.78E-78
CMR,24.78322811,29.53020082,26.9263195,0.062382667,4.78E-80
COD,24.35296032,29.26564624,26.53650976,0.063843729,6.51E-75
COG,24.96588614,29.65285738,27.0730665,0.061215932,2.26E-77
COL,23.76581445,28.43272859,25.91786285,0.06204145,7.36E-79
CPV,24.52615,27.11303914,25.9133801,0.029269227,2.15E-27
CRI,25.82002703,30.34997357,27.89523919,0.05905776,1.63E-74
CUB,27.02484949,31.2040007,28.94960399,0.055665375,4.10E-85
CYM,27.59555206,30.01302439,28.76335727,0.03277286,1.50E-64
CYP,22.43394725,26.09832993,24.20454743,0.048801906,7.53E-40
CZE,9.182040041,14.60897464,11.8420299,0.073726643,4.77E-74
DEU,9.823463096,14.95743828,12.29095672,0.06926596,4.78E-74
DNK,9.299005928,13.9861228,11.58989579,0.063970129,9.85E-69
DOM,26.63899898,30.78682045,28.54559974,0.054592982,4.15E-84
DZA,18.44485863,24.44056016,21.23217057,0.078798875,1.33E-80
ECU,21.83453874,26.25721548,23.88306652,0.058197392,4.59E-79
EGY,22.81375505,28.49122773,25.47517898,0.075277217,2.56E-84
ERI,28.58540459,33.72458077,30.8299301,0.067041076,7.35E-67
ESP,14.63252658,20.33494751,17.26050523,0.074666739,3.45E-77
EST,6.041863811,11.7133567,8.9156947,0.077199885,5.08E-67
ETH,21.43038253,26.16289351,23.53501167,0.061966438,4.21E-74
FIN,3.910510641,9.987446381,6.957913523,0.082164683,5.27E-69
FJI,26.06720113,29.24761029,27.51320684,0.042558391,1.41E-77
FLK,8.412442359,12.14488069,10.02419786,0.050517505,3.71E-64
FRA,12.2696344,17.48985927,14.68305773,0.069290754,6.53E-72
FRO,9.325699107,8.842508443,9.266380978,-0.013087465,1.81E-08
GAB,25.16130889,29.37220863,27.08235382,0.055540522,1.50E-81
GBR,10.36480887,14.88489371,12.48552871,0.060038164,9.37E-71
GEO,9.138583626,15.38924328,12.14060356,0.084318882,2.16E-77
GHA,26.96270689,31.65454665,29.03017048,0.061710694,3.98E-73
GIN,26.41385277,31.35539577,28.64514326,0.065218457,1.71E-76
GNB,28.62253432,33.7092495,30.90247736,0.066635195,6.13E-72
GNQ,25.23917052,30.16141643,27.44078766,0.065053865,9.91E-78
GRC,16.42510207,22.31146465,19.21246428,0.078104175,1.45E-81
GRL,-6.149523223,1.205922477,-2.703137861,0.098676361,2.36E-72
GTM,23.97567929,28.93480483,26.25587122,0.065198783,9.98E-79
GUY,26.66360273,31.23732546,28.784878,0.060497115,2.67E-78
HND,25.16378378,30.13230181,27.4367855,0.065353067,5.29E-77
HRV,12.42607255,18.38490261,15.26997471,0.079549155,3.92E-75
HTI,27.13344102,31.55275003,29.15175671,0.058169107,2.48E-82
HUN,11.75850102,17.59692786,14.58049666,0.078801486,1.11E-71
IDN,26.61752981,30.55112533,28.43591351,0.051915702,2.47E-83
IND,25.11764666,30.25701834,27.4712523,0.06758833,2.68E-79
IRL,10.08219463,14.3978142,12.05560006,0.056974928,6.21E-68
IRN,16.30564196,22.84326943,19.37528833,0.084406493,8.86E-82
IRQ,23.01023163,29.7310245,26.19901503,0.088329013,5.57E-84
ISL,2.756827457,7.925356928,5.125764913,0.069001922,6.72E-67
ISR,20.62528333,25.92903495,23.11595524,0.070441443,5.53E-81
ITA,13.54037198,19.29086028,16.23128772,0.076301089,3.84E-78
JAM,26.90745829,32.61816399,29.49846166,0.074525808,7.61E-80
JPN,14.00144137,19.23078493,16.46046757,0.068869955,1.33E-80
KAZ,8.148327139,15.21203378,11.40990739,0.093340063,4.94E-73
KEN,22.34711593,26.66042379,24.276868,0.056631442,1.76E-74
KGZ,4.014956319,11.00943908,7.232745176,0.089688256,2.09E-75
KHM,26.58662463,31.0619362,28.59338943,0.058803172,6.00E-68
KIR,27.41065496,30.599425,28.91331904,0.0432833,3.41E-26
KOR,11.85368323,17.572067,14.52538712,0.075903686,1.24E-78
LAO,22.75392072,27.59402707,24.95095778,0.06333797,3.65E-74
