ISO_C3,start,end,avg,trend_annual,Pvalue
AFG,46.21956829,48.33722536,46.8687469,0.019945975,0.215564785
AGO,114.0788073,121.455301,119.0861189,0.088100138,4.54E-05
ALA,55.85765582,72.90697289,63.80829872,0.214548849,1.71E-21
ALB,64.84437119,57.69384943,62.73060121,-0.110077529,2.93E-07
ARE,8.505647907,12.13118657,9.854325381,0.044899702,1.52E-07
ARG,63.00977701,67.16872476,64.81310573,0.068140195,6.15E-07
AUS,66.37809066,60.09737492,62.37948717,-0.0885005,2.13E-08
AUT,76.85110634,76.3050193,77.63961095,-0.032561068,0.064632132
AZE,40.24345788,41.93902029,40.80728418,0.001206541,0.912879007
BEL,83.81547793,90.44233543,89.11515004,0.105809826,1.45E-06
BEN,117.2554005,121.486365,122.6351344,0.030920892,0.277340336
BFA,65.3068701,76.2680907,73.93626793,0.1487354,1.71E-08
BGD,116.7794381,139.959479,126.3723765,0.322551425,1.23E-18
BGR,53.41368007,48.39293821,51.02668259,-0.075844187,2.20E-08
BHS,101.1610639,81.89106472,95.71414517,-0.278694663,3.97E-11
BIH,73.20755743,68.41616445,72.17415635,-0.087060023,1.83E-05
BLR,63.31139334,69.62618719,65.99139427,0.06817559,5.26E-06
BLZ,71.5315556,63.66583308,68.10700808,-0.143099562,1.41E-11
BOL,187.5350518,182.9291056,186.0996139,-0.051288661,0.055339454
BRA,117.4754805,112.615639,113.583887,-0.054548617,0.001075106
BRN,273.1946115,288.0509193,282.6712257,0.185288629,0.032129468
BWA,63.50418507,58.42844832,61.76042781,-0.065135275,1.52E-04
CAF,142.1844336,153.5699625,149.9929257,0.131450088,1.27E-07
CAN,90.69612326,102.4074174,97.1132981,0.163018699,4.52E-27
CHE,111.3400133,112.3120813,114.153503,-0.013599728,0.605044871
CHL,69.51164532,53.38934888,61.22130664,-0.220942483,7.54E-17
CHN,88.68442005,106.858111,97.96284876,0.243239395,1.24E-33
CIV,142.9134842,141.6431505,142.2131939,-0.033841246,0.10369218
CMR,193.8233599,199.6769843,196.5662868,0.012460796,0.654363984
COD,164.7217166,168.5607686,167.6390501,0.061280279,1.62E-04
COG,173.4380293,172.11696,172.3302652,-0.014665841,0.466513411
COL,210.1609877,197.2550484,201.5611296,-0.218571882,1.79E-08
CPV,6.28712857,3.96005712,5.574577638,-0.047146867,7.31E-08
CRI,130.2281965,94.62430355,113.5476091,-0.512066678,3.53E-24
CUB,81.11673747,74.23297045,78.17822474,-0.103025527,2.55E-06
CYM,74.4367277,62.73034759,73.30599634,-0.185882016,2.23E-05
CYP,30.50690531,25.67153922,28.08992827,-0.062372912,5.93E-04
CZE,67.16069565,70.77194303,69.96810019,0.025916301,0.048719021
DEU,77.12787387,80.853049,79.59086799,0.031277949,0.018243294
DNK,68.66524461,78.86335424,73.75962551,0.137400188,5.32E-16
DOM,64.1784821,50.50180841,58.53337642,-0.224572392,1.17E-20
DZA,33.54280031,23.30018595,28.78523837,-0.137275909,9.02E-24
ECU,325.5118693,355.2217478,334.47223,0.319305935,1.37E-08
EGY,6.503086635,5.392893595,6.106855391,-0.015399102,1.04E-05
ERI,26.35303502,34.78686151,31.33772725,0.104902651,1.60E-10
ESP,58.02728636,48.26871031,53.99311756,-0.139835288,7.35E-17
EST,60.0121281,72.64809722,65.49171785,0.16320412,1.76E-19
ETH,105.3768544,132.6095756,118.415504,0.359370285,2.29E-30
FIN,61.45538216,75.11874,67.25968655,0.176941569,3.97E-28
FJI,137.849765,140.5672198,141.8974693,0.051592794,0.247643344
FLK,64.51983885,64.16641272,65.38443077,-0.007914702,0.45732768
FRA,77.80871761,76.67644241,77.963785,-0.02585902,0.07118286
FRO,96.92103309,92.95189087,95.80898516,-0.109629969,0.001297513
GAB,225.347548,227.7316806,225.4056856,-0.007980413,0.740616426
GBR,79.54906878,87.63283169,83.01924754,0.11789647,1.77E-14
GEO,67.15321784,71.01580013,69.11880148,-0.004795221,0.735441459
GHA,128.5815927,125.8847026,126.9132644,-0.038793938,0.092051915
GIN,147.5794735,144.4328326,146.0090602,-0.104396404,0.001540849
GNB,68.93423143,69.83808608,70.11778758,-0.015928557,0.541331811
