item,estimate,std.error,t.stat,p.value,pval.symbol
tmp,0.012555603906238073,0.0038893196571580272,3.2282262742611914,0.0012456040388427098,***
tmp2,-5.633123412724526e-4,1.2407124078969413e-4,-4.540232995874445,5.619209749268722e-6,***
pre,0.09430730889231524,0.05291831137021172,1.7821299744912464,0.07472803877373461,*
pre2,-0.05565812177592547,0.026167002219247643,-2.127034702316227,0.03341719995613357,**
tmp_pre,-0.011026378803861979,0.005067602351150219,-2.1758571489649867,0.029565943822638278,**
tmp2_pre,3.456580958449372e-4,1.369160628599687e-4,2.524598565169523,0.011583051803267828,**
pre2_tmp,0.005276347165754331,0.0022704946229801263,2.3238756490992647,0.020132159724841378,**
tmp2_pre2,-1.336682010405932e-4,5.2739620380664576e-5,-2.5344930448077077,0.011261016251834422,**
T_1,-0.001222216483327316,0.007364428569356882,-0.16596216146530554,0.8681867279322671, 
T_2,5.698974545580589e-4,0.002654500817677244,0.214691007349824,0.8300082342016308, 
